Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-87.376722473854
5280060000,-88.1218951095475
5280120000,-87.2161505512388
5280180000,-87.6168235458602
5280240000,-87.3811531535069
5280300000,-87.2361747308093
5280360000,-88.1766149741809
5280420000,-87.9983651733612
5280480000,-87.5381734666675
5280540000,-87.9873214816021
5280600000,-87.4358677904943
5280660000,-88.0283936635591
5280720000,-88.4846200423304
5280780000,-87.8378972469326
5280840000,-87.6000472920134
5280900000,-87.6879159075491
5280960000,-88.1093613424838
5281020000,-87.0764188885558
5281080000,-87.064643097251
5281140000,-87.2938145212403
5281200000,-87.5216767246738
5281260000,-87.8554819151072
5281320000,-87.8422181895713
5281380000,-87.5103460388407
5281440000,-88.028969771112
5281500000,-88.2200087204814
5281560000,-87.660137653827
5281620000,-87.830620139306
5281680000,-87.8689879011079
5281740000,-88.0078439552603
5281800000,-87.7518323540973
5281860000,-88.1541199445801
5281920000,-88.2767876486761
5281980000,-88.3958257559958
5282040000,-87.7860043033581
5282100000,-87.8871570539671
5282160000,-87.7171408539772
5282220000,-87.5341937692259
5282280000,-87.1672042321117
5282340000,-87.3722259444568
5282400000,-87.7894372897483
5282460000,-87.4870025455548
5282520000,-87.781876956535
5282580000,-87.5897769351921
5282640000,-87.8247317764226
5282700000,-87.0009703883537
5282760000,-87.6577262148649
5282820000,-86.7728959155962
5282880000,-87.3704307186427
5282940000,-87.7951941340567
5283000000,-87.8585679939289
5283060000,-87.6830509905761
5283120000,-87.1917187227079
5283180000,-87.3118008350794
5283240000,-88.2032347897662
5283300000,-87.5194372888612
5283360000,-88.0517357764469
5283420000,-88.0219331239995
5283480000,-88.1404305435678
5283540000,-87.3161534281787
5283600000,-87.7156400528613
5283660000,-87.7553269643311
5283720000,-86.941433304341
5283780000,-88.4364966115925
5283840000,-87.6485235066318
5283900000,-87.7278672631895
5283960000,-87.2042634691028
5284020000,-87.3959058589894
5284080000,-88.1301402762493
5284140000,-87.3817648197888
5284200000,-87.9982099841166
5284260000,-88.1572366957228
5284320000,-87.3636839943703
5284380000,-87.6512244020773
5284440000,-87.906111320167
5284500000,-87.4559712941332
5284560000,-87.0877112220824
5284620000,-87.9105991902769
5284680000,-87.5472988048679
5284740000,-87.5743437968735
5284800000,-86.9722212402946
5284860000,-87.6676647596868
5284920000,-87.4482874142492
5284980000,-87.2467981024984
5285040000,-87.5327609247737
5285100000,-87.8847825708317
5285160000,-87.5649516614372
5285220000,-87.0711755361935
5285280000,-87.599141806331
5285340000,-87.7608710511587
5285400000,-87.2650840374871
5285460000,-87.5435698394237
5285520000,-87.8638910133849
5285580000,-87.7307812194955
5285640000,-87.1267502987953
5285700000,-87.7554875346878
5285760000,-88.2372284545604
5285820000,-86.9357448258803
5285880000,-87.2936921101728
5285940000,-87.5932766819762
5286000000,-87.8647137926461
5286060000,-87.2372444162212
5286120000,-87.4777727674549
5286180000,-87.3634382337355
5286240000,-87.4418522379943
5286300000,-87.147441254968
5286360000,-87.7814687141274
5286420000,-87.9423048042957
5286480000,-87.3185087537918
5286540000,-87.8830345522207
5286600000,-87.9345334262986
5286660000,-87.8099774398654
5286720000,-87.3659204458492
5286780000,-87.8615217112582
5286840000,-87.2661035172184
5286900000,-88.1001836296998
5286960000,-87.9486465293419
5287020000,-87.8183111395341
5287080000,-88.1763531484213
5287140000,-88.352635957714
5287200000,-87.2002465608724
5287260000,-86.9649766441832
5287320000,-87.8669776646773
5287380000,-87.3920247502587
5287440000,-86.8817361975387
5287500000,-86.8621145641652
5287560000,-87.1351210082098
5287620000,-87.4206676829338
5287680000,-87.0198462274906
5287740000,-87.7775493754641
5287800000,-87.4601530048528
5287860000,-87.930803986133
5287920000,-87.2219847841916
5287980000,-87.6829781032402
5288040000,-87.5486755755968
5288100000,-87.1992630879361
5288160000,-87.2840640921228
5288220000,-88.3707763578236
5288280000,-87.5767053537855
5288340000,-87.7887234392214
5288400000,-87.8712169182478
5288460000,-87.6823251586851
5288520000,-87.5716531797242
5288580000,-87.0620988609768
5288640000,-88.5738728259653
5288700000,-88.0033659883336
5288760000,-87.5139580767879
5288820000,-88.2217230777724
5288880000,-87.4436727271746
5288940000,-87.5260715559112
5289000000,-87.9674417533271
5289060000,-87.6108922556079
5289120000,-87.6497079451982
5289180000,-87.6745643451553
5289240000,-87.4672115537695
5289300000,-87.6561350755922
5289360000,-87.5934774802198
5289420000,-87.6684493342102
5289480000,-87.621297259543
5289540000,-87.6910664147343
5289600000,-88.2905407197739
5289660000,-88.1441787032182
5289720000,-87.7596655294608
5289780000,-87.1329816417208
5289840000,-86.8165965642949
5289900000,-87.4359038581877
5289960000,-87.6811147751695
5290020000,-87.4788045657234
5290080000,-87.8659530591854
5290140000,-87.9922567283151
5290200000,-87.3515746660672
5290260000,-88.1452534368561
5290320000,-88.171091175828
5290380000,-87.2682375421067
5290440000,-87.3118213517368
5290500000,-87.4652188647215
5290560000,-87.8450087917027
5290620000,-87.721982091166
5290680000,-87.9171027005086
5290740000,-87.6708745911061
5290800000,-87.5858568714294
5290860000,-87.6791899484975
5290920000,-87.5737396862058
5290980000,-87.625571547422
5291040000,-87.4358693037241
5291100000,-87.5218350850127
5291160000,-87.3205319759544
5291220000,-87.1333377313843
5291280000,-87.2431944024577
5291340000,-88.0241670727853
5291400000,-87.2477785013088
5291460000,-87.2683101273403
5291520000,-87.1062723180089
5291580000,-87.4473171040442
5291640000,-87.4118942352863
5291700000,-87.1185182144428
5291760000,-87.1673031369371
5291820000,-87.1912433670735
5291880000,-86.9362369708089
5291940000,-86.8249463649889
5292000000,-87.8469858086085
5292060000,-87.7784373250685
5292120000,-88.2817609933582
5292180000,-87.4661747025855
5292240000,-87.4974870915126
5292300000,-87.6046404651568
5292360000,-87.4493627824225
5292420000,-87.6248424492834
5292480000,-87.3926619037483
5292540000,-87.1628563890927
5292600000,-87.8202963306528
5292660000,-87.5881576097861
5292720000,-87.5119826079013
5292780000,-87.0982981863582
5292840000,-87.242401643314
5292900000,-87.2909632582561
5292960000,-87.3117703008785
5293020000,-86.6893625627358
5293080000,-87.3000739908306
5293140000,-87.4251790461072
5293200000,-87.1315605825181
5293260000,-86.7884970291431
5293320000,-86.9067787494242
5293380000,-85.8418183638337
5293440000,-85.885672181729
5293500000,-86.1802456980533
5293560000,-85.6220505047394
5293620000,-85.9644092052569
5293680000,-86.1236354241344
5293740000,-86.6326915966498
5293800000,-86.2523287428021
5293860000,-86.3896376523768
5293920000,-86.0510206663089
5293980000,-85.7439829885688
5294040000,-85.525972734727
5294100000,-85.3958726557758
5294160000,-85.537527044286
5294220000,-85.0544936748477
5294280000,-85.5184880523022
5294340000,-84.5463450959677
5294400000,-84.7556938055641
5294460000,-84.5896942547579
5294520000,-84.9724920047238
5294580000,-84.7851764726332
5294640000,-84.235240112426
5294700000,-83.7157973569294
5294760000,-83.9401325938773
5294820000,-83.2534454638641
5294880000,-83.7502161082062
5294940000,-83.4546577258297
5295000000,-83.1219106780084
5295060000,-82.936581868001
5295120000,-82.6490055526335
5295180000,-82.6692321998796
5295240000,-81.8257379228124
5295300000,-82.1906417893644
5295360000,-82.0366168762805
5295420000,-81.5921135657897
5295480000,-81.357260144235
5295540000,-81.5245487218369
5295600000,-81.4113579354249
5295660000,-81.3999333307632
5295720000,-80.7825980688344
5295780000,-80.2132391870963
5295840000,-79.8427617591945
5295900000,-80.2042047720539
5295960000,-79.4227400093565
5296020000,-79.2210541164603
5296080000,-79.1327708182752
5296140000,-78.7149047684037
5296200000,-78.0605744431348
5296260000,-78.1400393226276
5296320000,-78.3626054581706
5296380000,-77.2414500040278
5296440000,-77.4962999212679
5296500000,-76.577918237087
5296560000,-76.838417661202
5296620000,-75.9087874939046
5296680000,-76.104103275736
5296740000,-76.7243866128436
5296800000,-76.2436252992158
5296860000,-74.731609591728
5296920000,-75.0190333696133
5296980000,-74.6855908547473
5297040000,-74.2643429564646
5297100000,-74.3467997318015
5297160000,-73.7189158816355
5297220000,-73.1156532458409
5297280000,-73.2851499784214
5297340000,-73.0286486436616
5297400000,-72.925890214113
5297460000,-71.6706417703358
5297520000,-71.9928791771291
5297580000,-70.7643333637275
5297640000,-70.7289092219014
5297700000,-70.644012178538
5297760000,-69.931168473487
5297820000,-69.9421968643902
5297880000,-69.6530143055021
5297940000,-69.5196392789078
5298000000,-68.9550927378597
5298060000,-68.9863217159207
5298120000,-68.2619549668843
5298180000,-68.722193076277
5298240000,-68.7129522682624
5298300000,-67.5668083007622
5298360000,-67.469974832191
5298420000,-66.6380554342126
5298480000,-66.3673646294601
5298540000,-66.65952181311
5298600000,-66.2709400253307
5298660000,-65.4409360235454
5298720000,-65.5544185062419
5298780000,-64.6234168494727
5298840000,-65.1598795362299
5298900000,-64.5955787211401
5298960000,-64.2742059735506
5299020000,-64.0850251210292
5299080000,-64.2287411154304
5299140000,-63.6687421790631
5299200000,-63.3689523836838
5299260000,-63.9565428890443
5299320000,-62.6795541333256
5299380000,-62.9302399159556
5299440000,-62.6949999939359
5299500000,-62.6145309305142
5299560000,-62.0352190659262
5299620000,-62.4880688170903
5299680000,-63.0637907265514
5299740000,-62.6318241765791
5299800000,-62.3354288871608
5299860000,-62.3596381642444
5299920000,-61.7040164680782
5299980000,-61.6093578206714
5300040000,-61.9198004771562
5300100000,-61.7663648310518
5300160000,-61.8030540666438
5300220000,-61.6990748847246
5300280000,-61.4873082420604
5300340000,-61.3678628561065
5300400000,-61.9204381682467
5300460000,-61.597152027388
5300520000,-60.9436351410091
5300580000,-61.0012015835382
5300640000,-61.440954079527
5300700000,-60.724577132403
5300760000,-61.0091376611199
5300820000,-60.706963752754
5300880000,-61.4228196174078
5300940000,-61.8787312674284
5301000000,-61.4834888235497
5301060000,-60.9546349367602
5301120000,-61.4033367984738
5301180000,-61.3301250161386
5301240000,-61.3580710309718
5301300000,-61.6682860319132
5301360000,-62.0547242812956
5301420000,-61.6968649957339
5301480000,-62.4163832767418
5301540000,-61.9847950883901
5301600000,-62.5937490301868
5301660000,-62.7764606430033
5301720000,-62.3112143759047
5301780000,-62.1959614225658
5301840000,-62.6682590759988
5301900000,-63.3719136158809
5301960000,-63.4010140999241
5302020000,-62.6112408311139
5302080000,-62.5854296736566
5302140000,-62.3106791868686
5302200000,-62.3685669570279
5302260000,-63.2238992266209
5302320000,-62.503943912914
5302380000,-62.5123498116872
5302440000,-63.5760326041489
5302500000,-63.2416481060653
5302560000,-63.5460635311892
5302620000,-63.4991946313787
5302680000,-64.7984215562656
5302740000,-63.4678692236889
5302800000,-63.7493846230171
5302860000,-64.1491294559629
5302920000,-64.2680326763865
5302980000,-64.5725579625817
5303040000,-64.463599221559
5303100000,-64.4399642750187
5303160000,-65.237109635038
5303220000,-65.06446901219
5303280000,-65.0423680751659
5303340000,-65.621284269355
5303400000,-65.4450509224945
5303460000,-65.2220965596746
5303520000,-65.493631483371
5303580000,-66.1244970401073
5303640000,-66.0536993656287
5303700000,-67.1590498065446
5303760000,-67.5789652139064
5303820000,-67.5102584999855
5303880000,-66.6374578708433
5303940000,-66.9242372840612
5304000000,-67.4478416321782
5304060000,-67.8094005905563
5304120000,-67.6796125765959
5304180000,-67.4097806488703
5304240000,-68.3356913140584
5304300000,-67.7656457495104
5304360000,-68.4893183503718
5304420000,-68.0527106551467
5304480000,-68.2036937502908
5304540000,-68.2886223573125
5304600000,-68.559263943714
5304660000,-69.1869653491924
5304720000,-69.0747347967164
5304780000,-69.5450176725652
5304840000,-69.4200900069476
5304900000,-69.5071564928242
5304960000,-69.8170420071782
5305020000,-69.4699202715747
5305080000,-69.5142115541334
5305140000,-70.0938967036348
5305200000,-68.9422841567069
5305260000,-68.8187907505951
5305320000,-69.1839655681959
5305380000,-69.7569199315048
5305440000,-69.3482438806075
5305500000,-68.8894473131707
5305560000,-69.2244126738454
5305620000,-69.1218688350455
5305680000,-68.9608833247405
5305740000,-69.1283649117316
5305800000,-68.9514548217544
5305860000,-68.4703715452271
5305920000,-68.2210462792713
5305980000,-67.8162284525632
5306040000,-67.4828614580539
5306100000,-67.5673425077516
5306160000,-67.0345419356324
5306220000,-67.0354288864193
5306280000,-66.560314349568
5306340000,-66.1300361893182
5306400000,-65.987229492664
5306460000,-66.221173252713
5306520000,-65.9363873702172
5306580000,-65.1918872179526
5306640000,-65.5750931085156
5306700000,-65.3578707869312
5306760000,-65.1708154497939
5306820000,-63.7309601389455
5306880000,-63.3165619611481
5306940000,-64.0168309768777
5307000000,-63.4906578521608
5307060000,-62.8044412571222
5307120000,-62.9495927587557
5307180000,-62.7796168687999
5307240000,-62.68116445813
5307300000,-62.7872758006751
5307360000,-62.1734109392579
5307420000,-61.7681569513237
5307480000,-61.6805870432724
5307540000,-61.520538980138
5307600000,-60.6960237484903
5307660000,-60.7622979895463
5307720000,-60.4824445183885
5307780000,-60.8433829791488
5307840000,-60.6536009028868
5307900000,-60.6597413567509
5307960000,-60.4039213037182
5308020000,-59.6214060615277
5308080000,-59.7329876284097
5308140000,-59.6756660175868
5308200000,-59.5187946414341
5308260000,-59.4414262303463
5308320000,-58.8905233480539
5308380000,-58.0283208733668
5308440000,-57.9731240922814
5308500000,-58.7171487101868
5308560000,-58.3141268761921
5308620000,-58.8155364901017
5308680000,-58.555260192069
5308740000,-57.4312136560975
5308800000,-58.352734825087
5308860000,-58.286658749295
5308920000,-58.0613094577707
5308980000,-57.5528105818876
5309040000,-57.648238758275
5309100000,-58.2006704165221
5309160000,-57.1661370704704
5309220000,-56.3571061254934
5309280000,-56.9335725669891
5309340000,-57.7355494469855
5309400000,-57.8109591927873
5309460000,-57.5602187898551
5309520000,-57.3663998888267
5309580000,-56.4727377567588
5309640000,-56.6978406672918
5309700000,-56.3442462185697
5309760000,-56.7975753250376
5309820000,-56.811370516621
5309880000,-56.6297891111728
5309940000,-57.3230319771414
5310000000,-56.9790965642563
5310060000,-56.8140962358188
5310120000,-57.3591839241024
5310180000,-56.566828426734
5310240000,-56.7551516934857
5310300000,-57.0751127948989
5310360000,-56.6054166504608
5310420000,-56.1846409824097
5310480000,-56.4831642936802
5310540000,-55.6759246992511
5310600000,-55.8709751286487
5310660000,-56.047725220954
5310720000,-56.3173779319094
5310780000,-56.0916887287724
5310840000,-56.1675465144894
5310900000,-55.9566959478811
5310960000,-56.4588447029442
5311020000,-56.5002333645697
5311080000,-56.6994313644609
5311140000,-56.4613111560955
5311200000,-55.7705048383586
5311260000,-55.8778467250292
5311320000,-55.7028527080027
5311380000,-56.2640205815416
5311440000,-56.3917448656392
5311500000,-55.5516014817643
5311560000,-56.3698685137497
5311620000,-55.8725355405769
5311680000,-56.4124503445937
5311740000,-56.8807179494771
5311800000,-57.0818469054154
5311860000,-56.4098474256287
5311920000,-56.7242627915984
5311980000,-56.0639999407242
5312040000,-55.7493637521276
5312100000,-55.9604438763002
5312160000,-56.0485195442591
5312220000,-56.2381053986767
5312280000,-55.9934364912833
5312340000,-55.7559745234184
5312400000,-55.1600005167417
5312460000,-55.2941036700603
5312520000,-55.3096904881501
5312580000,-55.5550821088663
5312640000,-55.283734690857
5312700000,-55.0917035354325
5312760000,-55.1677585159338
5312820000,-54.696798528318
5312880000,-55.1816816728432
5312940000,-55.1126236411273
5313000000,-55.3921980839812
5313060000,-55.2850787675694
5313120000,-55.8144157220693
5313180000,-54.9951903898509
5313240000,-56.0412352552515
5313300000,-55.9634886708246
5313360000,-54.9769353710816
5313420000,-54.6921028154161
5313480000,-54.8569036530617
5313540000,-54.9076912195223
5313600000,-55.1362909545605
5313660000,-55.0620392332701
5313720000,-54.614313592035
5313780000,-54.4812977744168
5313840000,-54.8964409222447
5313900000,-54.3994183976461
5313960000,-54.9453749756064
5314020000,-55.0794276075813
5314080000,-54.9246297034561
5314140000,-54.4788108736955
5314200000,-54.527119674554
5314260000,-54.7259834455507
5314320000,-55.1737345576738
5314380000,-55.3122800220688
5314440000,-55.4121656721478
5314500000,-55.2350503435762
5314560000,-54.74763291244
5314620000,-55.4849826224071
5314680000,-55.5277352747149
5314740000,-55.295677998224
5314800000,-55.5000982700887
5314860000,-54.7465789533466
5314920000,-54.8676371853487
5314980000,-54.8323261082825
5315040000,-54.9933630203645
5315100000,-55.5334463094395
5315160000,-55.3154949300064
5315220000,-55.761378697609
5315280000,-55.8727317094419
5315340000,-55.3194382673903
5315400000,-55.2231546871473
5315460000,-55.5846335419999
5315520000,-55.8674513676317
5315580000,-56.2033640851957
5315640000,-56.0500063626084
5315700000,-56.3674936812711
5315760000,-55.821371855473
5315820000,-56.2852938453522
5315880000,-56.6943897629504
5315940000,-56.4177989793886
5316000000,-55.9511698423519
5316060000,-55.7027220558497
5316120000,-56.395094404294
5316180000,-56.5861619895421
5316240000,-56.5859142025574
5316300000,-56.2526992280586
5316360000,-56.3270903213126
5316420000,-56.2083797856987
5316480000,-56.1018928845764
5316540000,-56.4278581561277
5316600000,-56.4722854248794
5316660000,-56.2200340403769
5316720000,-56.8324714339988
5316780000,-57.2645623050617
5316840000,-57.7465263874738
5316900000,-57.6762671544244
5316960000,-57.522033606194
5317020000,-57.2132719021028
5317080000,-57.6493622493133
5317140000,-57.3717285460635
5317200000,-57.844263819054
5317260000,-58.2448199508276
5317320000,-57.6782171617917
5317380000,-57.801735235793
5317440000,-58.0569494383491
5317500000,-57.1579175731402
5317560000,-58.015240334302
5317620000,-57.8070632982668
5317680000,-57.6057623387212
5317740000,-57.3786332963867
5317800000,-58.0024362055623
5317860000,-58.5185800086408
5317920000,-58.2547932574145
5317980000,-58.3445467021881
5318040000,-58.7273373934727
5318100000,-58.2352951934604
5318160000,-58.0023623939166
5318220000,-58.1448136560827
5318280000,-58.3388575635528
5318340000,-58.7224202158156
5318400000,-58.7002729676748
5318460000,-57.963124892209
5318520000,-57.8632604389868
5318580000,-59.3345488251299
5318640000,-58.4754804191966
5318700000,-58.3063447309165
5318760000,-58.4587212724917
5318820000,-58.5165060207697
5318880000,-58.2707014866972
5318940000,-58.4366584146128
5319000000,-58.7381634119805
5319060000,-58.0310576366004
5319120000,-58.4211245721167
5319180000,-57.5319350859313
5319240000,-57.3095207845392
5319300000,-57.1017568180424
5319360000,-58.153537312178
5319420000,-58.4155256002034
5319480000,-57.9884834102906
5319540000,-57.7938054052615
5319600000,-58.0615976494978
5319660000,-57.8767973347971
5319720000,-57.7042516774954
5319780000,-57.256146052139
5319840000,-57.6642827460631
5319900000,-57.3604930137191
5319960000,-57.2565851005106
5320020000,-57.3381588850335
5320080000,-56.9477013688834
5320140000,-56.5655720538346
5320200000,-57.1022870718678
5320260000,-56.8513895209904
5320320000,-56.6947210560325
5320380000,-56.4361453778737
5320440000,-56.6328495488705
5320500000,-57.0893748814653
5320560000,-56.3698531348849
5320620000,-55.7672929764844
5320680000,-55.734548661711
5320740000,-56.0791115919331
5320800000,-56.7855825170938
5320860000,-56.3696552952998
5320920000,-56.9575545937133
5320980000,-56.9726228483013
5321040000,-57.1853201091167
5321100000,-57.1031197889112
5321160000,-57.2994377137938
5321220000,-58.0605994735433
5321280000,-58.0156267582928
5321340000,-57.7027974124706
5321400000,-57.6821188887854
5321460000,-58.7381911891456
5321520000,-59.0857439393902
5321580000,-59.2913363921887
5321640000,-60.0798600431138
5321700000,-60.4904505637254
5321760000,-60.939058495
5321820000,-61.4644909849259
5321880000,-62.2990914202002
5321940000,-62.5209512024121
5322000000,-62.753716273176
5322060000,-63.4625609640684
5322120000,-63.5507022353915
5322180000,-63.8046067994221
5322240000,-64.964759804261
5322300000,-65.3400515459806
5322360000,-65.7534815905825
5322420000,-66.3673670605658
5322480000,-66.9609649866803
5322540000,-67.3799208869448
5322600000,-67.4199285461306
5322660000,-68.1099788788615
5322720000,-68.6507138308305
5322780000,-69.1929484954076
5322840000,-69.8491005470162
5322900000,-69.4301348899054
5322960000,-70.7988206585477
5323020000,-70.9751912993385
5323080000,-71.4070878289014
5323140000,-71.6255956602021
5323200000,-72.2373290589783
5323260000,-72.8376997109043
5323320000,-72.5827251383796
5323380000,-73.0124080183893
5323440000,-73.9224880165967
5323500000,-74.1475467398905
5323560000,-74.0436697831295
5323620000,-74.774514236701
5323680000,-74.9477525571725
5323740000,-75.1168653791152
5323800000,-75.0045283664098
5323860000,-76.0607438641966
5323920000,-76.0539162926614
5323980000,-76.1938018474755
5324040000,-77.6296255428981
5324100000,-76.8394193883252
5324160000,-77.2728167733715
5324220000,-77.8688538858715
5324280000,-77.8755475839869
5324340000,-78.3250354296447
5324400000,-78.6671637948881
5324460000,-79.1690933850501
5324520000,-78.7613407558453
5324580000,-78.9638302189524
5324640000,-79.3304070634665
5324700000,-79.3231031731833
5324760000,-80.7322826088963
5324820000,-80.1656921798132
5324880000,-80.2932544574014
5324940000,-80.818179752092
5325000000,-80.4478474807962
5325060000,-80.7234913367216
5325120000,-80.3974117949297
5325180000,-80.8580688603728
5325240000,-80.9332815634452
5325300000,-80.9991409839813
5325360000,-81.2042668976602
5325420000,-81.532990104738
5325480000,-82.5400987598259
5325540000,-82.6202623759056
5325600000,-81.7908367198209
5325660000,-82.3146642850219
5325720000,-82.4338383243346
5325780000,-82.0827489091942
5325840000,-81.8096918606103
5325900000,-82.2086818765429
5325960000,-81.7963908789612
5326020000,-82.4128940618037
5326080000,-82.8821064329631
5326140000,-82.060759675626
5326200000,-83.2128592832233
5326260000,-82.9506579485976
5326320000,-82.6210302901762
5326380000,-83.0164702593353
5326440000,-82.8336972660752
5326500000,-82.9663216654318
5326560000,-83.2103709930081
5326620000,-82.8859344083748
5326680000,-82.8271907430038
5326740000,-83.7879405292772
5326800000,-84.6386764226459
5326860000,-83.3683045455307
5326920000,-84.2398802671484
5326980000,-84.1189139681188
5327040000,-83.6696353891792
5327100000,-84.0462634160235
5327160000,-84.6097101147795
5327220000,-84.2489253272382
5327280000,-84.1523534762982
5327340000,-84.376759945208
5327400000,-84.8905913006524
5327460000,-84.3983312109258
5327520000,-85.2146335398516
5327580000,-84.3543622750735
5327640000,-84.0869071740633
5327700000,-84.0224181175748
5327760000,-84.8095728843431
5327820000,-84.3532474946932
5327880000,-84.6830757458866
5327940000,-84.5131225204122
5328000000,-84.3743881071651
5328060000,-83.9339191221402
5328120000,-84.573649523948
5328180000,-85.2400395026453
5328240000,-85.0736502083149
5328300000,-84.45032494294
5328360000,-84.548375304701
5328420000,-85.1160648445567
5328480000,-85.2795704926497
5328540000,-84.6260314240388
5328600000,-83.6913345210164
5328660000,-85.023467278296
5328720000,-84.7639709854522
5328780000,-85.2065132738639
5328840000,-85.2871269812443
5328900000,-85.6179065476661
5328960000,-85.3940543253131
5329020000,-84.3443219534133
5329080000,-85.1248502438647
5329140000,-84.8143240928463
5329200000,-85.3981609494666
5329260000,-85.4321606920887
5329320000,-85.7400970183915
5329380000,-86.4337258219612
5329440000,-84.7162917638053
5329500000,-85.0569040526936
5329560000,-85.5481073640552
5329620000,-85.6407547177748
5329680000,-85.2235871940336
5329740000,-85.7690966716513
5329800000,-85.7291255025001
5329860000,-84.8139259664695
5329920000,-84.9575618088245
5329980000,-85.4279426097837
5330040000,-85.2811647150076
5330100000,-85.4858448825845
5330160000,-85.1355703734223
5330220000,-85.4119937251651
5330280000,-85.5942941840324
5330340000,-86.122891062352
5330400000,-85.5908487769108
5330460000,-85.0693895685885
5330520000,-86.0968085417952
5330580000,-86.217414196918
5330640000,-85.3424042662259
5330700000,-85.9319740158111
5330760000,-85.7618311259604
5330820000,-86.0696791572483
5330880000,-85.9265515733988
5330940000,-86.1028809552991
5331000000,-86.7061490192803
5331060000,-86.2315934490155
5331120000,-86.2817852393593
5331180000,-86.6255123235062
5331240000,-85.9522651913356
5331300000,-85.7146243924207
5331360000,-86.2298970450298
5331420000,-85.9344774834969
5331480000,-85.9288604621364
5331540000,-86.1560462281558
5331600000,-87.0388669561196
5331660000,-85.8218891862941
5331720000,-86.5322856512797
5331780000,-86.7293413067148
5331840000,-86.3152309970931
5331900000,-86.4738200774414
5331960000,-86.3321549642539
5332020000,-85.9229883117636
5332080000,-86.1392300184998
