Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-87.5323142250353
5280060000,-86.6091921331376
5280120000,-87.1304628148565
5280180000,-88.2652070505948
5280240000,-87.4836998750461
5280300000,-87.9133166244495
5280360000,-87.8095605501925
5280420000,-87.5219674570161
5280480000,-88.1743949085293
5280540000,-87.8720516395726
5280600000,-87.8900451477659
5280660000,-88.062000505697
5280720000,-87.5481792556338
5280780000,-87.5931669818846
5280840000,-87.6005259587605
5280900000,-87.8921142819897
5280960000,-87.2274179155359
5281020000,-88.0483369116137
5281080000,-87.7034922642127
5281140000,-88.075387100024
5281200000,-87.7168505854187
5281260000,-88.2229374788155
5281320000,-87.2731812877507
5281380000,-87.4143060590358
5281440000,-87.5356610381686
5281500000,-87.5892916177915
5281560000,-87.2875362980439
5281620000,-87.4470932770304
5281680000,-87.5150624679875
5281740000,-86.7480702885356
5281800000,-88.3550259314697
5281860000,-87.9397670169276
5281920000,-87.5466002939131
5281980000,-87.6905031252105
5282040000,-86.9070042717164
5282100000,-87.1742661964237
5282160000,-86.677951134058
5282220000,-87.9115149330964
5282280000,-87.294479199396
5282340000,-87.6029931104788
5282400000,-87.3129232812597
5282460000,-88.090223795396
5282520000,-88.0563748820871
5282580000,-87.1946346876074
5282640000,-87.5520439247823
5282700000,-88.2264165805207
5282760000,-89.0874337126513
5282820000,-87.7053217213949
5282880000,-87.8628796730709
5282940000,-87.4122262161479
5283000000,-87.3275123468969
5283060000,-89.2703339754632
5283120000,-88.4781555217715
5283180000,-88.5058942881038
5283240000,-88.1773578818869
5283300000,-87.7510455222159
5283360000,-88.00467437464
5283420000,-87.4258038939678
5283480000,-87.6383350966839
5283540000,-87.9818981299873
5283600000,-87.7630803955319
5283660000,-87.945177877318
5283720000,-88.3809607440506
5283780000,-88.4552944851948
5283840000,-87.8733813673661
5283900000,-87.1394980777452
5283960000,-86.958184153458
5284020000,-87.1486966582976
5284080000,-87.1247620385253
5284140000,-88.1430041385033
5284200000,-87.8438063978147
5284260000,-87.5796945261723
5284320000,-88.1304876075474
5284380000,-88.7846421598618
5284440000,-86.701702060861
5284500000,-87.6925751251609
5284560000,-88.0717384830682
5284620000,-87.5779075061105
5284680000,-87.8021315487203
5284740000,-87.906009737616
5284800000,-87.3417718428825
5284860000,-87.90549245749
5284920000,-87.8035810738761
5284980000,-87.7279951160945
5285040000,-87.9952496914368
5285100000,-88.5444920567731
5285160000,-87.9929612143187
5285220000,-87.2719466630094
5285280000,-88.363910244429
5285340000,-88.1396466304255
5285400000,-87.4234753107251
5285460000,-88.0627547480523
5285520000,-87.8763844605678
5285580000,-87.8576605406601
5285640000,-87.3985406151278
5285700000,-88.0735159188054
5285760000,-87.8409181247645
5285820000,-87.7516623478741
5285880000,-87.2589411250483
5285940000,-87.1409493305686
5286000000,-88.2788831907658
5286060000,-88.2334149312143
5286120000,-87.5540492319964
5286180000,-88.6141312675588
5286240000,-87.8464335490562
5286300000,-88.1120124691529
5286360000,-87.8677218352184
5286420000,-88.2705868956129
5286480000,-87.0436567487027
5286540000,-87.2742159440394
5286600000,-87.8856339382258
5286660000,-88.0557960510693
5286720000,-87.744501255406
5286780000,-87.3714056485132
5286840000,-87.5096347699438
5286900000,-88.2982680050833
5286960000,-88.481916202908
5287020000,-87.5342178340748
5287080000,-87.4913071535825
5287140000,-87.5630098220166
5287200000,-87.9996452151022
5287260000,-87.1907616545101
5287320000,-87.22259401721
5287380000,-87.7865204140407
5287440000,-87.4705220247054
5287500000,-87.6743295310331
5287560000,-87.2339651852674
5287620000,-87.7695597795902
5287680000,-88.3597601566973
5287740000,-87.9126564431237
5287800000,-87.7925112846662
5287860000,-87.2877738498818
5287920000,-88.138884037841
5287980000,-88.0570511197138
5288040000,-88.0294197692901
5288100000,-87.2346837365392
5288160000,-87.3448382832409
5288220000,-87.5854293619558
5288280000,-86.6375546083599
5288340000,-87.5594465317155
5288400000,-87.5870897563014
5288460000,-87.7951892918547
5288520000,-86.9956467743205
5288580000,-87.9413947368307
5288640000,-87.5402906994949
5288700000,-88.1719488452007
5288760000,-88.0325703982443
5288820000,-87.6013119158527
5288880000,-87.7762511160193
5288940000,-87.3620505100534
5289000000,-87.5596992484171
5289060000,-88.2532537470987
5289120000,-87.7254540045918
5289180000,-87.1474360502726
5289240000,-87.2212479864939
5289300000,-88.0168704678552
5289360000,-88.2603792445196
5289420000,-87.9043782608781
5289480000,-87.6652174837919
5289540000,-87.8850392566993
5289600000,-88.1186116917319
5289660000,-87.2370576089095
5289720000,-86.7401105011441
5289780000,-86.6846765025004
5289840000,-87.3691618846334
5289900000,-87.5862055975284
5289960000,-87.2597637603685
5290020000,-87.187389475141
5290080000,-86.9641106760626
5290140000,-87.5951661738291
5290200000,-88.4419769831975
5290260000,-88.0490233917712
5290320000,-87.3281852252246
5290380000,-87.5334405564795
5290440000,-86.9420688057513
5290500000,-87.9668077444886
5290560000,-87.2689877894737
5290620000,-87.3030396604375
5290680000,-86.8325061708858
5290740000,-87.9195089308544
5290800000,-88.0100480220714
5290860000,-87.7987707362214
5290920000,-87.7378394124737
5290980000,-87.7093702344271
5291040000,-87.7230864121251
5291100000,-87.6302441450599
5291160000,-88.2897931313667
5291220000,-88.2122522424652
5291280000,-87.3393410130148
5291340000,-87.4040764833224
5291400000,-88.1326213093037
5291460000,-87.491288574542
5291520000,-87.8080705213761
5291580000,-87.6431456812893
5291640000,-87.6908600219969
5291700000,-87.9401600983698
5291760000,-87.7885596572317
5291820000,-87.3729112263386
5291880000,-87.1928907903112
5291940000,-86.9396118828443
5292000000,-87.6070173404562
5292060000,-88.1093765889931
5292120000,-88.5084552096067
5292180000,-87.8790048814834
5292240000,-87.6058591233699
5292300000,-87.0898462457551
5292360000,-86.6796274789319
5292420000,-87.8339856534069
5292480000,-87.2324923101709
5292540000,-87.9496735009404
5292600000,-88.2462946225233
5292660000,-87.7729521587506
5292720000,-87.6838051055887
5292780000,-88.1016246072386
5292840000,-87.5205845471102
5292900000,-86.7632332179375
5292960000,-87.3580768770476
5293020000,-87.3369555473652
5293080000,-87.8391237124091
5293140000,-87.3186718182665
5293200000,-87.3863014216803
5293260000,-87.8236481864336
5293320000,-88.3099931683907
5293380000,-86.7669138656965
5293440000,-87.3992539856096
5293500000,-86.7984000371383
5293560000,-88.0397085502569
5293620000,-87.6662219102651
5293680000,-88.069122200737
5293740000,-87.7541659044996
5293800000,-87.125215333204
5293860000,-87.111127345934
5293920000,-86.7009894221271
5293980000,-86.7446600952748
5294040000,-86.9956049126849
5294100000,-86.8083217871783
5294160000,-86.4806437399315
5294220000,-86.6159168998389
5294280000,-86.8776138384082
5294340000,-86.7976314435413
5294400000,-86.3056877366693
5294460000,-86.2109184191965
5294520000,-86.2973991441233
5294580000,-86.1747610341447
5294640000,-86.1856388401612
5294700000,-86.2679671737996
5294760000,-87.0725543638497
5294820000,-84.9372044254851
5294880000,-85.1508806124106
5294940000,-85.1541812229963
5295000000,-85.0118982600724
5295060000,-85.1793689885369
5295120000,-85.1410207470312
5295180000,-84.3929149191699
5295240000,-84.0174439505977
5295300000,-84.3287417543099
5295360000,-84.681651663288
5295420000,-83.872377069597
5295480000,-83.8171840832539
5295540000,-83.294946293389
5295600000,-83.3334871096883
5295660000,-83.7800499782924
5295720000,-81.947773158429
5295780000,-82.616228058504
5295840000,-82.6385047298097
5295900000,-81.9175548060383
5295960000,-82.7869854444743
5296020000,-81.8124456775028
5296080000,-80.7580256611257
5296140000,-80.5437777150221
5296200000,-80.6324926469431
5296260000,-81.5031065331622
5296320000,-80.5955856266498
5296380000,-80.373143138446
5296440000,-79.5106444426116
5296500000,-79.4122592375036
5296560000,-78.7633257424677
5296620000,-78.5313731758085
5296680000,-78.4686838370509
5296740000,-78.795481451785
5296800000,-77.8439084507895
5296860000,-78.0192136024636
5296920000,-76.1587446180294
5296980000,-76.431913915539
5297040000,-76.9033690837786
5297100000,-76.1288716857989
5297160000,-75.8856010968669
5297220000,-75.3885495812419
5297280000,-74.2287102716938
5297340000,-73.8102455172147
5297400000,-72.9973476865232
5297460000,-72.8488030645237
5297520000,-73.1599391822034
5297580000,-72.7395709421602
5297640000,-72.862960178681
5297700000,-72.2765403832903
5297760000,-71.3909279341778
5297820000,-71.6705279261607
5297880000,-70.7893544935759
5297940000,-70.3825164347044
5298000000,-70.0217147988964
5298060000,-69.9177220282076
5298120000,-69.600921041327
5298180000,-68.3302533058854
5298240000,-67.7908694472134
5298300000,-68.307412970417
5298360000,-66.996279630667
5298420000,-67.4724971874995
5298480000,-68.1010891312053
5298540000,-65.8836688326315
5298600000,-65.6687447449376
5298660000,-65.4321767769879
5298720000,-65.5320112983238
5298780000,-65.0900065273899
5298840000,-64.9085955446081
5298900000,-64.9551692169753
5298960000,-63.2238359269292
5299020000,-62.9936766053576
5299080000,-63.9089084871734
5299140000,-63.0107653705444
5299200000,-63.4005911404816
5299260000,-62.7833481078099
5299320000,-62.8895986248888
5299380000,-62.7813138249745
5299440000,-62.8292030336966
5299500000,-62.2935600018669
5299560000,-61.7302098635638
5299620000,-62.5676781131263
5299680000,-63.6414945953355
5299740000,-62.9807727186595
5299800000,-62.6916788382522
5299860000,-62.9304678057664
5299920000,-62.8138194283543
5299980000,-62.4950855584491
5300040000,-62.8469151107557
5300100000,-62.6590881322308
5300160000,-62.9451776136079
5300220000,-62.2834047777208
5300280000,-63.4372337979076
5300340000,-62.6449950325469
5300400000,-62.8605012113853
5300460000,-62.4521344845705
5300520000,-62.597233745633
5300580000,-61.7043013288686
5300640000,-62.3966269668283
5300700000,-61.5283590193807
5300760000,-61.2523176114129
5300820000,-61.3724584285541
5300880000,-62.1308401601432
5300940000,-61.7106409554975
5301000000,-61.378340157595
5301060000,-61.3573290683893
5301120000,-62.3812433614859
5301180000,-61.8581383465378
5301240000,-61.6599193657441
5301300000,-61.5735503725947
5301360000,-61.3013085863899
5301420000,-62.4598118027882
5301480000,-62.1920531293019
5301540000,-62.358847716176
5301600000,-61.7263694496266
5301660000,-61.1275365765612
5301720000,-61.8387647815898
5301780000,-61.4531222917021
5301840000,-61.7123204461332
5301900000,-60.7957745192629
5301960000,-60.6762157932663
5302020000,-61.0944983049184
5302080000,-61.3182725195082
5302140000,-60.9400014428283
5302200000,-60.109839953488
5302260000,-60.3690822041097
5302320000,-60.3799012152054
5302380000,-60.2040463524485
5302440000,-60.0429563642023
5302500000,-59.9842209838751
5302560000,-60.5389297601068
5302620000,-61.3794626949213
5302680000,-60.4040557028666
5302740000,-60.6196500740864
5302800000,-61.6633194606049
5302860000,-60.5522064417514
5302920000,-60.1657114255108
5302980000,-59.6694903881434
5303040000,-60.7908866600897
5303100000,-60.2552803750855
5303160000,-60.0499325101329
5303220000,-60.0180149631006
5303280000,-60.2617574027005
5303340000,-60.6147481546948
5303400000,-59.5478930125477
5303460000,-59.1802858646457
5303520000,-58.9071180584368
5303580000,-59.5331597724486
5303640000,-59.5895227991452
5303700000,-59.8723638611426
5303760000,-59.8018327498102
5303820000,-60.0937943739119
5303880000,-59.0529265868019
5303940000,-59.8502232066606
5304000000,-59.0851991403108
5304060000,-58.9820515466099
5304120000,-59.0240392151468
5304180000,-60.080709628549
5304240000,-59.6665222045652
5304300000,-59.2377756882939
5304360000,-60.1724686889272
5304420000,-59.0920686668781
5304480000,-59.3825971647829
5304540000,-58.7071839072474
5304600000,-58.8917198615026
5304660000,-57.9006072762029
5304720000,-59.7152471110975
5304780000,-59.1245132383859
5304840000,-59.5140891299093
5304900000,-58.8095870852592
5304960000,-59.304089862491
5305020000,-59.0795160584046
5305080000,-58.9461772728224
5305140000,-58.9992330852185
5305200000,-58.8845028921007
5305260000,-58.873766215322
5305320000,-59.711462295203
5305380000,-58.319111121597
5305440000,-58.6392061153487
5305500000,-59.3004586376135
5305560000,-59.1688322541025
5305620000,-59.1537447531773
5305680000,-58.4695637030628
5305740000,-59.3948421669871
5305800000,-58.3251575192718
5305860000,-58.637565077116
5305920000,-58.8791247552776
5305980000,-58.420848489985
5306040000,-58.9684724782485
5306100000,-58.6007403911396
5306160000,-59.0073006654376
5306220000,-58.9406353201542
5306280000,-57.9647359206369
5306340000,-58.2423736321348
5306400000,-58.0323442216057
5306460000,-58.389384473777
5306520000,-57.4482255231456
5306580000,-58.3012009330951
5306640000,-57.9923005137101
5306700000,-58.3982066945131
5306760000,-58.8567343295201
5306820000,-58.5450925969483
5306880000,-57.9299073865081
5306940000,-58.2238680379204
5307000000,-58.3405326053635
5307060000,-57.7578462874499
5307120000,-57.9513484671421
5307180000,-57.9951220314013
5307240000,-58.1885286693471
5307300000,-58.6268675983906
5307360000,-58.4674165185644
5307420000,-57.20965426826
5307480000,-57.1265998387763
5307540000,-57.9902465268688
5307600000,-57.4275357833305
5307660000,-57.8747012998739
5307720000,-58.2087968341645
5307780000,-58.3032516202382
5307840000,-57.0406020421342
5307900000,-57.1387462094942
5307960000,-57.906924644778
5308020000,-56.539568661919
5308080000,-57.3742441527389
5308140000,-57.2335560020444
5308200000,-57.1851317809697
5308260000,-56.3620330315024
5308320000,-56.9479251639057
5308380000,-57.2646761965313
5308440000,-58.0695353130905
5308500000,-56.5894180213134
5308560000,-56.7634223353626
5308620000,-56.2955037030428
5308680000,-56.6626419828784
5308740000,-57.5083488707318
5308800000,-57.4232366190166
5308860000,-56.8204424381557
5308920000,-56.740276309161
5308980000,-56.6480719201124
5309040000,-56.7550794217979
5309100000,-56.3700983747704
5309160000,-55.8565401851031
5309220000,-56.5455806568576
5309280000,-56.6328992094072
5309340000,-55.4321680323743
5309400000,-56.7051155623014
5309460000,-55.7987926023023
5309520000,-56.0682945666209
5309580000,-56.279655703536
5309640000,-56.4265482096861
5309700000,-56.6151116160228
5309760000,-55.5953438561502
5309820000,-55.5302512750008
5309880000,-55.8805521593641
5309940000,-55.7311035654557
5310000000,-55.3756816649099
5310060000,-55.7618548003863
5310120000,-56.0011802715537
5310180000,-54.9794281831008
5310240000,-55.5173216119557
5310300000,-56.0641812662475
5310360000,-55.8206901963621
5310420000,-56.4616805190123
5310480000,-56.0167507007637
5310540000,-55.737313886114
5310600000,-55.9893390601955
5310660000,-56.1358787968201
5310720000,-55.3639242791693
5310780000,-55.7656560205885
5310840000,-54.953801799743
5310900000,-54.8091302931576
5310960000,-55.0911849730879
5311020000,-55.0450758020237
5311080000,-55.2049031907713
5311140000,-55.0715497064589
5311200000,-54.9261285646321
5311260000,-55.1531071024109
5311320000,-54.6684098695396
5311380000,-54.735355981998
5311440000,-55.2543247956886
5311500000,-55.1813904419644
5311560000,-54.6699121226239
5311620000,-54.3581895470359
5311680000,-54.458038767102
5311740000,-53.7769371009695
5311800000,-55.0075596372148
5311860000,-55.1405103977468
5311920000,-54.4408809821662
5311980000,-54.9332671422456
5312040000,-55.1139226317215
5312100000,-54.0414084784379
5312160000,-54.215993392331
5312220000,-53.8288663306908
5312280000,-54.4312136915805
5312340000,-54.1002798755889
5312400000,-53.9150545723138
5312460000,-53.3947276173781
5312520000,-53.8752078059756
5312580000,-53.4066865257165
5312640000,-52.9174988307617
5312700000,-53.3662518101693
5312760000,-52.7195598714926
5312820000,-53.5705509528618
5312880000,-53.6718773953155
5312940000,-53.2493484419293
5313000000,-53.7851766991875
5313060000,-53.4215235097159
5313120000,-53.8272092095655
5313180000,-53.0556295095354
5313240000,-54.1154601499359
5313300000,-52.8923575055011
5313360000,-53.4032493669334
5313420000,-53.5479517622799
5313480000,-54.1663795340354
5313540000,-53.5303000785808
5313600000,-53.1871589671377
5313660000,-53.9041784718747
5313720000,-53.7909401998747
5313780000,-53.5045361870985
5313840000,-54.4389058156668
5313900000,-54.2673356327704
5313960000,-54.2873707477169
5314020000,-54.4874772782313
5314080000,-54.1170397888849
5314140000,-54.201910166976
5314200000,-54.0919341772097
5314260000,-53.9097800726754
5314320000,-54.5369674517686
5314380000,-53.6991691362005
5314440000,-53.7322705864405
5314500000,-54.9107411919728
5314560000,-54.8439427222412
5314620000,-53.8063298679998
5314680000,-54.9149888543303
5314740000,-55.0827012759673
5314800000,-55.42518894934
5314860000,-55.1526376539244
5314920000,-54.1248141540125
5314980000,-54.7231699737701
5315040000,-55.1005303846008
5315100000,-54.9288050291608
5315160000,-55.7076980029022
5315220000,-55.1627277908688
5315280000,-55.4729811488589
5315340000,-54.5362309814187
5315400000,-54.9144145211419
5315460000,-55.1993934125109
5315520000,-54.9765238252544
5315580000,-56.2330740857398
5315640000,-55.7012224904319
5315700000,-56.2040586118248
5315760000,-56.0733941592674
5315820000,-54.9878119989379
5315880000,-55.0043185827543
5315940000,-55.7015674594631
5316000000,-55.9463159262073
5316060000,-55.4992466068349
5316120000,-55.8996913734833
5316180000,-56.332296961863
5316240000,-56.0179792245142
5316300000,-54.8665320540483
5316360000,-55.2708866829364
5316420000,-56.756568099528
5316480000,-55.907054895971
5316540000,-55.4736039501517
5316600000,-55.3781209083868
5316660000,-56.1362298775905
5316720000,-54.9818650091751
5316780000,-55.6168059684617
5316840000,-55.611903851706
5316900000,-55.6649073826701
5316960000,-55.2953077209465
5317020000,-55.221902171979
5317080000,-55.4845169453112
5317140000,-55.216309124677
5317200000,-55.1869997663833
5317260000,-54.5702336065678
5317320000,-56.334139938216
5317380000,-55.4616305712225
5317440000,-56.0650574529076
5317500000,-55.0643163634346
5317560000,-55.5332425141994
5317620000,-55.0439290441615
5317680000,-54.7179331656492
5317740000,-55.5359174124229
5317800000,-55.2330867327445
5317860000,-55.0718415719548
5317920000,-55.813745191086
5317980000,-56.0693707181963
5318040000,-55.0046828028812
5318100000,-54.4664372599255
5318160000,-54.5694238230185
5318220000,-55.2806070959801
5318280000,-54.8396157015556
5318340000,-55.3688727905273
5318400000,-55.2496806969102
5318460000,-55.3753620994699
5318520000,-55.0764118845709
5318580000,-54.6515449972027
5318640000,-55.7502823406316
5318700000,-55.7380529068589
5318760000,-54.7362608581749
5318820000,-54.8571872215069
5318880000,-54.4349367081188
5318940000,-55.4955822921706
5319000000,-54.728822939778
5319060000,-55.052481539733
5319120000,-54.8304056839087
5319180000,-54.0811010736579
5319240000,-54.7593885883769
5319300000,-54.7917183552801
5319360000,-55.3416786057732
5319420000,-54.6675873980817
5319480000,-53.7606609542673
5319540000,-54.1860862129323
5319600000,-54.1119898236443
5319660000,-53.9722342064429
5319720000,-55.3971951684768
5319780000,-54.4685366520252
5319840000,-53.9087574692905
5319900000,-54.4945605734363
5319960000,-54.4293128197435
5320020000,-55.2078603733246
5320080000,-54.3634476291554
5320140000,-55.5707203965627
5320200000,-54.202474304649
5320260000,-53.5245026321782
5320320000,-54.0678998996259
5320380000,-54.2202447988131
5320440000,-54.9555119412479
5320500000,-53.2734406096735
5320560000,-54.1191834084764
5320620000,-53.7211711012287
5320680000,-54.5335551317868
5320740000,-54.428584059662
5320800000,-55.3268380721923
5320860000,-55.1610804012235
5320920000,-54.417486247665
5320980000,-54.5532436297937
5321040000,-55.5373823230264
5321100000,-56.691210507337
5321160000,-55.4109216170873
5321220000,-56.1135428796932
5321280000,-56.5758325537616
5321340000,-57.0054542999058
5321400000,-56.0474865153864
5321460000,-56.9398095902711
5321520000,-57.4908207999752
5321580000,-57.2277501855545
5321640000,-58.2190986059623
5321700000,-58.302043450394
5321760000,-59.1041089723345
5321820000,-59.1085919948272
5321880000,-59.7130918838186
5321940000,-59.9089229763754
5322000000,-61.2787930975273
5322060000,-61.5927358368039
5322120000,-61.4138742478399
5322180000,-61.5448104464549
5322240000,-63.870127429667
5322300000,-63.6329045323462
5322360000,-63.5882203022376
5322420000,-63.7131888163814
5322480000,-64.4989387477726
5322540000,-65.5652800897864
5322600000,-66.1648485547876
5322660000,-65.9486742391485
5322720000,-66.4564711819922
5322780000,-66.2911618222953
5322840000,-67.1767749268324
5322900000,-66.86353019679
5322960000,-66.3943392884295
5323020000,-68.1179637498972
5323080000,-68.3029839263737
5323140000,-68.0893083948727
5323200000,-69.329293186395
5323260000,-69.1869579420392
5323320000,-69.8223545619629
5323380000,-70.5121658811779
5323440000,-71.3115268367571
5323500000,-71.3798831914408
5323560000,-71.6103224443113
5323620000,-72.0089298696816
5323680000,-72.359185821978
5323740000,-73.5879407836086
5323800000,-73.6355866274059
5323860000,-73.3290004221552
5323920000,-73.3644610185962
5323980000,-73.3638509310661
5324040000,-73.9516898093481
5324100000,-74.1090322768116
5324160000,-74.6007488087896
5324220000,-75.481077719811
5324280000,-75.7255983562367
5324340000,-76.3719381808125
5324400000,-76.0925299277472
5324460000,-76.0679829580462
5324520000,-75.7657769744025
5324580000,-76.0545554875345
5324640000,-76.9762907215986
5324700000,-76.8887082473295
5324760000,-77.1964407730861
5324820000,-77.5301827019752
5324880000,-78.1976739993441
5324940000,-78.104726488543
5325000000,-77.6603396874366
5325060000,-78.105542087619
5325120000,-78.2596949306238
5325180000,-79.1335784484416
5325240000,-78.8931512279319
5325300000,-80.0509848162288
5325360000,-79.948762406656
5325420000,-80.4256479198374
5325480000,-79.8521989179938
5325540000,-80.0022875620915
5325600000,-79.7745967913214
5325660000,-80.0783018649965
5325720000,-80.5734285023866
5325780000,-80.8865628115008
5325840000,-80.9200611274569
5325900000,-81.1082194828363
5325960000,-82.1598400465302
5326020000,-81.3359908259452
5326080000,-81.3973064888515
5326140000,-82.0357383965665
5326200000,-82.5042750309803
5326260000,-82.2279829087224
5326320000,-81.7943482287753
5326380000,-82.4202494689739
5326440000,-82.1775806921049
5326500000,-81.9468693322736
5326560000,-83.0403665783774
5326620000,-82.3390606716751
5326680000,-83.3160484326535
5326740000,-83.438900329645
5326800000,-83.9760873835729
5326860000,-83.8226178510719
5326920000,-83.0693445836605
5326980000,-83.3132625721469
5327040000,-83.8036415196745
5327100000,-84.5513217397838
5327160000,-84.5890606394097
5327220000,-84.6362949187608
5327280000,-84.0330956869426
5327340000,-84.4006520447134
5327400000,-84.6727989445962
5327460000,-85.0405390364948
5327520000,-84.1911654708748
5327580000,-84.2407148002362
5327640000,-85.3086583038445
5327700000,-84.9703154919436
5327760000,-86.0837368668668
5327820000,-86.2086318873595
5327880000,-85.6512559470165
5327940000,-84.9539554443003
5328000000,-85.2783636794967
5328060000,-84.9289453743716
5328120000,-84.7648486599183
5328180000,-85.5435358514364
5328240000,-86.6162784904631
5328300000,-85.7824929282463
5328360000,-86.2245204027001
5328420000,-85.5812744803849
5328480000,-86.3779676164283
5328540000,-87.0898858259013
5328600000,-86.218897777486
5328660000,-86.7890614326728
5328720000,-86.5301726070009
5328780000,-86.23175154639
5328840000,-86.2939344343794
5328900000,-86.5580705262898
5328960000,-86.0568584341351
5329020000,-86.0859103841982
5329080000,-86.514069606685
5329140000,-86.8756729787149
5329200000,-87.3403952926355
5329260000,-87.7015136065678
5329320000,-87.3965222135465
5329380000,-87.2488439807541
5329440000,-87.2013963893633
5329500000,-87.3056984888113
5329560000,-86.8570490559398
5329620000,-86.6873888720963
5329680000,-87.8868566137545
5329740000,-87.8907002414824
5329800000,-87.3313693700195
5329860000,-87.8135905222725
5329920000,-88.2984941927914
5329980000,-87.8298618361795
5330040000,-87.0575684118574
5330100000,-86.6825816655065
5330160000,-87.6178323820122
5330220000,-88.0370474271572
5330280000,-88.1460825177377
5330340000,-88.9934495262304
5330400000,-87.8654909266634
5330460000,-87.8765663296618
5330520000,-87.8381658067242
5330580000,-87.6492429369215
5330640000,-87.2886756449209
5330700000,-87.1537632593286
5330760000,-87.6122900584595
5330820000,-87.1601937733503
5330880000,-87.7648333002789
5330940000,-88.8257581602049
5331000000,-88.0546994292217
5331060000,-87.953336895367
5331120000,-88.00692837554
5331180000,-88.1778304216358
5331240000,-86.6872761955231
5331300000,-88.3388621801599
5331360000,-87.7028627318455
5331420000,-88.2264755084109
5331480000,-88.7953236272426
5331540000,-88.1660047518154
5331600000,-87.6760518870127
5331660000,-87.3488948088126
5331720000,-87.4696594861121
5331780000,-88.315336140629
5331840000,-86.8560167162436
5331900000,-88.1337551963477
5331960000,-88.5563362507143
5332020000,-89.3534115537436
5332080000,-88.5569240194717
