Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-87.9505347938306
5280060000,-87.9833740195508
5280120000,-87.860259717588
5280180000,-88.4373120805093
5280240000,-87.9744513281347
5280300000,-87.6210005741871
5280360000,-87.9221504214274
5280420000,-86.6327653697928
5280480000,-87.4658843119571
5280540000,-88.1241324606391
5280600000,-87.5078537115453
5280660000,-87.3548568910357
5280720000,-88.1001362213776
5280780000,-87.728547234333
5280840000,-87.652549712105
5280900000,-87.513061024672
5280960000,-88.1194300050262
5281020000,-87.3783222894998
5281080000,-87.9968985653057
5281140000,-87.7827182802362
5281200000,-88.0971043340437
5281260000,-88.3472863342302
5281320000,-87.552528253384
5281380000,-88.4983203120849
5281440000,-88.0771304598972
5281500000,-88.1542055142284
5281560000,-88.0937372004828
5281620000,-87.2613503702617
5281680000,-86.7161987767247
5281740000,-87.8127630607046
5281800000,-88.102609584402
5281860000,-88.0310290306067
5281920000,-88.004911649396
5281980000,-87.7159883211344
5282040000,-88.4448491698155
5282100000,-88.294079206935
5282160000,-87.0984867528638
5282220000,-88.0489309596807
5282280000,-88.050417793832
5282340000,-87.2959636312616
5282400000,-87.3911254731343
5282460000,-87.3428130092844
5282520000,-87.7997546981752
5282580000,-88.0446598542111
5282640000,-87.7821133973375
5282700000,-88.1881974796513
5282760000,-87.1486761431049
5282820000,-88.2011736338714
5282880000,-88.177687325371
5282940000,-88.2889369274744
5283000000,-87.1815368547507
5283060000,-88.0624560676054
5283120000,-87.6428977744725
5283180000,-88.2757759147869
5283240000,-88.5198946887557
5283300000,-88.6822003302943
5283360000,-87.4288418664403
5283420000,-87.0998791970469
5283480000,-87.6573161044834
5283540000,-87.4165311177074
5283600000,-87.8790068785279
5283660000,-88.0049258133955
5283720000,-87.09110801773
5283780000,-87.6878566791522
5283840000,-88.152970862048
5283900000,-88.5754734260226
5283960000,-87.4777524671519
5284020000,-88.3957712750935
5284080000,-87.2727611508713
5284140000,-87.1110553327038
5284200000,-88.0707376914669
5284260000,-88.3668752717006
5284320000,-88.489244463219
5284380000,-87.3631476056495
5284440000,-87.4286915061196
5284500000,-87.4091518066844
5284560000,-87.9494205972186
5284620000,-88.4424697169063
5284680000,-87.4010301960656
5284740000,-87.4706970903636
5284800000,-88.0919338363401
5284860000,-87.7421063193928
5284920000,-88.4639779218521
5284980000,-88.6815213915747
5285040000,-87.4543928118065
5285100000,-88.075041608574
5285160000,-87.2228041431845
5285220000,-87.5961615026531
5285280000,-88.1146247268992
5285340000,-88.0747860810238
5285400000,-87.3208978195671
5285460000,-87.3443739541344
5285520000,-87.8039026195447
5285580000,-87.3201182246956
5285640000,-88.0254537556521
5285700000,-86.9588206112064
5285760000,-87.0412680514348
5285820000,-87.3439980121741
5285880000,-87.3408694450347
5285940000,-87.0758315533881
5286000000,-87.5959704328797
5286060000,-87.9081296290582
5286120000,-87.6957646371715
5286180000,-88.0048738468284
5286240000,-88.4051298826081
5286300000,-87.4477377011917
5286360000,-87.0344778139602
5286420000,-87.1168076643467
5286480000,-87.5385017981589
5286540000,-87.1339141617599
5286600000,-87.6326590394096
5286660000,-87.4281358200977
5286720000,-87.5685844497923
5286780000,-87.8454299466062
5286840000,-87.2564687876348
5286900000,-88.0280220982532
5286960000,-87.9666204151384
5287020000,-88.0030167335729
5287080000,-87.7317980258669
5287140000,-87.0346248149819
5287200000,-87.0082575553574
5287260000,-87.6452072439439
5287320000,-87.5268259331134
5287380000,-87.7995116892737
5287440000,-87.4858063018535
5287500000,-87.2391932685434
5287560000,-87.5036624345082
5287620000,-87.0311299176459
5287680000,-87.9234185983292
5287740000,-87.4837597916142
5287800000,-87.6770503564664
5287860000,-87.5706705588642
5287920000,-87.1710878401067
5287980000,-87.5954644921849
5288040000,-87.5108829115058
5288100000,-87.0571941667916
5288160000,-86.6471533014792
5288220000,-86.9560052833571
5288280000,-87.0592514268532
5288340000,-87.3346490987399
5288400000,-87.5215677640397
5288460000,-87.1281438132462
5288520000,-87.1641653140601
5288580000,-87.8155124089017
5288640000,-87.3098563034782
5288700000,-86.970038621814
5288760000,-87.0976111638318
5288820000,-87.3056445550992
5288880000,-87.9776433659063
5288940000,-87.5584084448384
5289000000,-87.3529151093318
5289060000,-87.8205648231912
5289120000,-87.081683965294
5289180000,-87.0597851196577
5289240000,-86.7001388509204
5289300000,-87.8120412598897
5289360000,-87.5667805097603
5289420000,-87.414254048618
5289480000,-87.4504004886388
5289540000,-87.3219064514137
5289600000,-87.3747653476998
5289660000,-87.6824855273505
5289720000,-87.375438664722
5289780000,-87.8155576568708
5289840000,-87.8993132840891
5289900000,-87.8822944168875
5289960000,-87.2037812440226
5290020000,-87.4104697014744
5290080000,-87.5525866370495
5290140000,-86.9244827594899
5290200000,-87.4088669777101
5290260000,-87.7958721081923
5290320000,-87.4765885526519
5290380000,-87.0170644120383
5290440000,-88.1606131871812
5290500000,-87.9806882929003
5290560000,-87.0478282922288
5290620000,-86.6893799700047
5290680000,-87.7437368501447
5290740000,-87.0905348907266
5290800000,-87.3772726329817
5290860000,-87.0694026414605
5290920000,-86.2595783621341
5290980000,-86.8955946813514
5291040000,-87.0669326926131
5291100000,-88.1313876004172
5291160000,-86.3194332918375
5291220000,-87.1408005991871
5291280000,-87.1522017268747
5291340000,-86.7650835313476
5291400000,-86.7575894413315
5291460000,-87.2336541782446
5291520000,-86.8319327942394
5291580000,-86.5249226784365
5291640000,-87.8616789130167
5291700000,-86.9984614961494
5291760000,-86.8807416281789
5291820000,-86.8046338654744
5291880000,-87.3694348367534
5291940000,-87.247783058448
5292000000,-86.2376665317159
5292060000,-86.2961314768346
5292120000,-86.343712012222
5292180000,-86.5194948726285
5292240000,-85.9856303871558
5292300000,-86.0495779586484
5292360000,-86.3574877050439
5292420000,-86.653917743134
5292480000,-86.8227113573186
5292540000,-87.1110276963246
5292600000,-86.594176991087
5292660000,-86.7036465300852
5292720000,-86.5085069332737
5292780000,-87.3047378951911
5292840000,-87.0658107810404
5292900000,-85.8058657692976
5292960000,-85.7759031533852
5293020000,-87.1180817026702
5293080000,-86.2829961387046
5293140000,-86.1883738085341
5293200000,-86.5863279762855
5293260000,-87.4030783655965
5293320000,-86.4055497845537
5293380000,-86.3536125669554
5293440000,-86.3779985060484
5293500000,-86.0299112718846
5293560000,-85.9839564374877
5293620000,-86.7942614335953
5293680000,-86.553658664199
5293740000,-86.195737979515
5293800000,-85.9768231865651
5293860000,-86.1796517105849
5293920000,-86.0962665596709
5293980000,-86.3381937060882
5294040000,-86.2763348455883
5294100000,-86.1452670138258
5294160000,-85.6296657006573
5294220000,-85.8936262436811
5294280000,-85.9924979981874
5294340000,-86.0948900985823
5294400000,-85.7713203464332
5294460000,-85.2165910134068
5294520000,-85.8297860372023
5294580000,-85.7944583847578
5294640000,-85.4024366459528
5294700000,-85.3496101551758
5294760000,-84.6141452353076
5294820000,-84.7223286354111
5294880000,-86.2114062945608
5294940000,-85.2216974379975
5295000000,-86.2353152705719
5295060000,-84.7315403724981
5295120000,-85.021208994685
5295180000,-85.2516564327968
5295240000,-84.9152473397964
5295300000,-85.289191131726
5295360000,-84.0199491731161
5295420000,-84.1360184419851
5295480000,-84.2103433170162
5295540000,-85.1599922756531
5295600000,-84.3383927966686
5295660000,-84.0047029687599
5295720000,-83.9498113063864
5295780000,-83.6991472561514
5295840000,-83.9683111496749
5295900000,-83.7204545569127
5295960000,-83.2561518122281
5296020000,-83.4754943596551
5296080000,-83.4049999951483
5296140000,-84.2469146106039
5296200000,-83.327722912293
5296260000,-82.1024889519758
5296320000,-83.3321707694867
5296380000,-82.8032597560999
5296440000,-82.110942958806
5296500000,-82.4878852917013
5296560000,-82.2953106233139
5296620000,-82.9241009998777
5296680000,-82.4850653724493
5296740000,-82.0629185860488
5296800000,-81.9905133866128
5296860000,-81.9725816813891
5296920000,-82.0345155268409
5296980000,-81.6893974361825
5297040000,-80.9035526184694
5297100000,-81.4066982490732
5297160000,-81.2475190957562
5297220000,-81.0691360514006
5297280000,-80.5525646220373
5297340000,-80.1854939777885
5297400000,-80.6373116424481
5297460000,-80.8170999068407
5297520000,-80.1574363387408
5297580000,-80.7793697576547
5297640000,-80.0918373970491
5297700000,-80.0443979908995
5297760000,-79.7715462073904
5297820000,-79.7162429805707
5297880000,-78.7777665482053
5297940000,-77.9639353481445
5298000000,-78.4344497976497
5298060000,-77.9978541594385
5298120000,-77.4339160719265
5298180000,-77.2704154919233
5298240000,-77.2581427978361
5298300000,-76.2673094884106
5298360000,-76.6084383651138
5298420000,-76.1574526700126
5298480000,-75.9278592495546
5298540000,-75.4414275665169
5298600000,-74.6797180638326
5298660000,-73.8139635992535
5298720000,-73.703319653138
5298780000,-73.6048977012044
5298840000,-73.392619384951
5298900000,-72.8815452806916
5298960000,-73.2722897212679
5299020000,-72.9022866803393
5299080000,-72.3137135209707
5299140000,-72.8455143261474
5299200000,-72.1268647536562
5299260000,-71.8700051886315
5299320000,-71.0970364585952
5299380000,-71.1425738704814
5299440000,-71.5688524913756
5299500000,-71.5587331612663
5299560000,-70.8992459779291
5299620000,-71.0078409424789
5299680000,-70.227831520665
5299740000,-71.0835041476107
5299800000,-71.1306731185518
5299860000,-71.2834230686964
5299920000,-72.1735936154793
5299980000,-72.1516638556345
5300040000,-71.5904303344837
5300100000,-71.2662726331256
5300160000,-72.2555052722573
5300220000,-72.4719889166557
5300280000,-71.8063650134497
5300340000,-71.4330474088554
5300400000,-72.4848525425533
5300460000,-73.2784156849349
5300520000,-73.4514351840591
5300580000,-73.2662907238004
5300640000,-72.2341245849833
5300700000,-73.446248769241
5300760000,-73.0270931744412
5300820000,-73.3250518804745
5300880000,-73.8182244226211
5300940000,-74.2840352784544
5301000000,-75.5542341458294
5301060000,-74.3118467673401
5301120000,-74.0383923358917
5301180000,-74.3362187533531
5301240000,-75.4139818446277
5301300000,-74.7613589683053
5301360000,-75.4361122742815
5301420000,-75.9708528255032
5301480000,-75.8221906136618
5301540000,-75.6659144595641
5301600000,-76.3005181839318
5301660000,-77.275779679985
5301720000,-76.4558044106903
5301780000,-76.4073875389808
5301840000,-76.6474479466595
5301900000,-76.6115102969107
5301960000,-75.9340098196832
5302020000,-75.6053984030671
5302080000,-75.6174006619459
5302140000,-75.8312973298247
5302200000,-76.2429286660501
5302260000,-76.6032540844265
5302320000,-75.7363531188898
5302380000,-76.0886530305637
5302440000,-76.4412542662071
5302500000,-76.6799256438795
5302560000,-77.0852512248385
5302620000,-77.0571920944901
5302680000,-76.0755234433597
5302740000,-77.2023067999332
5302800000,-76.2873556852924
5302860000,-75.7203455631633
5302920000,-75.6424209905279
5302980000,-76.4910970218867
5303040000,-75.7912985709086
5303100000,-74.7382969819981
5303160000,-74.7803507948211
5303220000,-74.9304035279693
5303280000,-75.8720563773639
5303340000,-76.3128793918154
5303400000,-75.3494224674333
5303460000,-76.0096240304871
5303520000,-75.6318233131743
5303580000,-75.2716610721311
5303640000,-74.8370130156745
5303700000,-74.8366315943391
5303760000,-75.2477264269114
5303820000,-74.7873335444665
5303880000,-75.0860418857414
5303940000,-74.5471357358018
5304000000,-75.1008596971084
5304060000,-74.9408353668035
5304120000,-74.2398610174073
5304180000,-74.5577438522602
5304240000,-73.9508193282062
5304300000,-73.506176135197
5304360000,-74.2475220384557
5304420000,-74.1539580168614
5304480000,-73.5346204151327
5304540000,-72.4751660836536
5304600000,-72.7998838280609
5304660000,-72.3431068332513
5304720000,-73.133539146095
5304780000,-72.7771397799895
5304840000,-72.9853406899062
5304900000,-72.9702237915205
5304960000,-71.9381972906406
5305020000,-72.4123570252415
5305080000,-71.9310405003219
5305140000,-71.1085811456194
5305200000,-70.6514513812843
5305260000,-71.1553392977645
5305320000,-71.2266288850043
5305380000,-71.7117906191783
5305440000,-70.4054490654816
5305500000,-70.5695243872642
5305560000,-70.7772769859091
5305620000,-70.4198193112273
5305680000,-70.7321460260551
5305740000,-69.9969383339659
5305800000,-69.0880871923682
5305860000,-69.4271655962049
5305920000,-69.4520439427605
5305980000,-69.4200969982676
5306040000,-69.3665208722493
5306100000,-69.001515399597
5306160000,-68.7419071720203
5306220000,-69.1554787406354
5306280000,-68.8733153115291
5306340000,-69.0405288122145
5306400000,-68.8866559005086
5306460000,-68.3354248652756
5306520000,-68.0652776481279
5306580000,-68.7355625401158
5306640000,-67.3145267944764
5306700000,-66.9222919240831
5306760000,-67.5573145622621
5306820000,-67.7681612436193
5306880000,-67.8875744736145
5306940000,-67.0900221172775
5307000000,-66.5064391768202
5307060000,-66.1821565362552
5307120000,-66.1614541203841
5307180000,-66.0449453809091
5307240000,-66.3199299716015
5307300000,-66.681960442684
5307360000,-66.3659017416796
5307420000,-66.353599650132
5307480000,-66.2797392764037
5307540000,-65.1489520071446
5307600000,-66.0560848886067
5307660000,-65.6762924933485
5307720000,-65.2281363038157
5307780000,-64.5159027270674
5307840000,-64.4329217912347
5307900000,-64.6044567186063
5307960000,-63.9088180082816
5308020000,-64.7875308948545
5308080000,-63.6025788047177
5308140000,-63.5554627706331
5308200000,-63.2219566768522
5308260000,-63.2739835781326
5308320000,-63.2452997517495
5308380000,-62.6773636096163
5308440000,-62.4361361441855
5308500000,-62.717022275063
5308560000,-63.0756720381938
5308620000,-62.3099130353327
5308680000,-62.4654410454897
5308740000,-61.6942508618105
5308800000,-61.8865183481639
5308860000,-62.4313348789545
5308920000,-61.7621244855737
5308980000,-61.6001158266884
5309040000,-62.1103535946257
5309100000,-61.7170604156561
5309160000,-61.0779677205056
5309220000,-61.3745300471677
5309280000,-60.4607327828494
5309340000,-60.9398018933453
5309400000,-61.2213715151782
5309460000,-60.9770058708445
5309520000,-60.3264040699281
5309580000,-60.8266614000428
5309640000,-61.0727482871135
5309700000,-59.6565704718134
5309760000,-60.8032191622856
5309820000,-59.3889815793751
5309880000,-59.1777395236025
5309940000,-59.8385216865002
5310000000,-60.301686770893
5310060000,-59.3033644584182
5310120000,-58.5201580627804
5310180000,-59.5394569545865
5310240000,-60.0676271733978
5310300000,-59.7610638521185
5310360000,-59.5433617044122
5310420000,-59.7996274621635
5310480000,-59.9706258858819
5310540000,-60.7073857853105
5310600000,-60.8401381129844
5310660000,-59.9497853233744
5310720000,-61.1830609804253
5310780000,-60.8165194904645
5310840000,-59.5197982556999
5310900000,-59.9627672847641
5310960000,-60.6598994075073
5311020000,-60.8253343618356
5311080000,-60.9664649657375
5311140000,-60.9857724935379
5311200000,-60.6234568885168
5311260000,-60.0490533050847
5311320000,-60.9335868888265
5311380000,-60.702854316776
5311440000,-60.8334091842814
5311500000,-60.3318598572076
5311560000,-60.820123023459
5311620000,-60.678420660379
5311680000,-60.786177797306
5311740000,-60.4356064777343
5311800000,-60.2927282162363
5311860000,-61.0530207827546
5311920000,-60.4844158483961
5311980000,-60.4413199170279
5312040000,-60.9336325834563
5312100000,-60.9282388951141
5312160000,-61.3532534252091
5312220000,-61.9735258876077
5312280000,-61.0284864721971
5312340000,-60.9606378791306
5312400000,-60.787421438449
5312460000,-60.6372011612039
5312520000,-60.5776940975399
5312580000,-60.5573003550036
5312640000,-61.2450326397681
5312700000,-61.1025071477955
5312760000,-60.799655255898
5312820000,-61.7360900560629
5312880000,-62.1942134759887
5312940000,-61.8467950340502
5313000000,-62.6104315616946
5313060000,-63.045683757391
5313120000,-62.1956716328824
5313180000,-62.2407019385758
5313240000,-62.8623487322505
5313300000,-63.0334353483502
5313360000,-63.410149850927
5313420000,-63.4244671598161
5313480000,-63.1134942194695
5313540000,-62.9129454899353
5313600000,-63.8357472178169
5313660000,-63.0999295284232
5313720000,-63.3853796150355
5313780000,-64.5832607297055
5313840000,-64.5199319961831
5313900000,-64.6989632759692
5313960000,-64.85604935153
5314020000,-64.6520583907095
5314080000,-64.639843655667
5314140000,-64.7172250307087
5314200000,-65.3586922262151
5314260000,-65.321636637093
5314320000,-65.892594023712
5314380000,-65.061873146747
5314440000,-66.836560997015
5314500000,-65.8801659766297
5314560000,-67.0693299084003
5314620000,-66.5583578593764
5314680000,-66.4210936769481
5314740000,-66.9661004553555
5314800000,-67.1327398696861
5314860000,-67.9843621605788
5314920000,-68.0993208394396
5314980000,-67.1139399230514
5315040000,-68.1064054469564
5315100000,-68.215918246269
5315160000,-67.7396645980356
5315220000,-67.9141237368457
5315280000,-68.7531124691104
5315340000,-68.6248512589446
5315400000,-68.2590953151747
5315460000,-68.2060034113777
5315520000,-68.0466543867869
5315580000,-69.1154577661134
5315640000,-68.4848160049658
5315700000,-68.5786085123032
5315760000,-68.9054346886216
5315820000,-68.8245548353349
5315880000,-68.627246339939
5315940000,-68.7932316607746
5316000000,-68.5144481037438
5316060000,-68.7093678750266
5316120000,-68.8838123151064
5316180000,-68.7041128985196
5316240000,-68.1788095875267
5316300000,-67.3764205130697
5316360000,-68.6226155181119
5316420000,-68.1297523047247
5316480000,-68.2180180894977
5316540000,-68.0675691460579
5316600000,-67.6181333311194
5316660000,-67.2906749289497
5316720000,-68.413716622805
5316780000,-68.0326519515061
5316840000,-67.7748140850454
5316900000,-67.1172148526658
5316960000,-67.4837937448767
5317020000,-66.8310671415667
5317080000,-67.5916234493529
5317140000,-66.9182157326168
5317200000,-66.9593426895594
5317260000,-67.3212106387334
5317320000,-66.7616445875868
5317380000,-66.4034364417873
5317440000,-65.603053744006
5317500000,-66.1813310982768
5317560000,-67.1800656306225
5317620000,-66.2078988727062
5317680000,-65.050087152053
5317740000,-65.2399138133129
5317800000,-66.109887468891
5317860000,-67.0254345375306
5317920000,-66.0437283036985
5317980000,-65.4326799499403
5318040000,-64.9483713975438
5318100000,-65.1378452892784
5318160000,-65.0899052904251
5318220000,-64.4033054633124
5318280000,-64.9900492861926
5318340000,-65.5028952428685
5318400000,-64.2652106221748
5318460000,-64.5083201804989
5318520000,-64.8223364134266
5318580000,-64.3332581230722
5318640000,-64.1553886983985
5318700000,-63.522527428987
5318760000,-62.8399550539559
5318820000,-62.8525076793419
5318880000,-62.7793520087882
5318940000,-63.6575937001177
5319000000,-62.9287644210697
5319060000,-63.7491078140446
5319120000,-62.5617516456399
5319180000,-63.0904648815932
5319240000,-62.8124750559946
5319300000,-63.4877860778431
5319360000,-62.1522520100442
5319420000,-61.7396732611438
5319480000,-61.4332193444651
5319540000,-62.5873635514757
5319600000,-62.0532777491736
5319660000,-61.5757159139503
5319720000,-62.1177976450429
5319780000,-60.8701472852569
5319840000,-60.6673488141222
5319900000,-62.3899149670137
5319960000,-61.2532326710584
5320020000,-60.5247708602661
5320080000,-61.5842331965348
5320140000,-60.7844972428833
5320200000,-60.4386801266631
5320260000,-60.6018138938352
5320320000,-60.5604809742178
5320380000,-59.9917796622367
5320440000,-61.0810951195916
5320500000,-59.9801160393519
5320560000,-59.7788315374302
5320620000,-60.8011722305167
5320680000,-61.4208926546558
5320740000,-61.1766143668272
5320800000,-60.8614073562998
5320860000,-61.5816303483497
5320920000,-60.8180385723205
5320980000,-61.0754499951531
5321040000,-61.1351047015439
5321100000,-61.141182536266
5321160000,-61.6839110114886
5321220000,-61.2678560128901
5321280000,-61.764011561396
5321340000,-61.6107404617531
5321400000,-62.542412037449
5321460000,-62.2848240494021
5321520000,-62.3504684883594
5321580000,-61.6864165134112
5321640000,-61.9540141562896
5321700000,-62.5810692468107
5321760000,-62.4252920136645
5321820000,-63.1371881750421
5321880000,-63.59780954323
5321940000,-64.3911807662426
5322000000,-65.2925509095806
5322060000,-65.14172714852
5322120000,-65.6703668908223
5322180000,-65.7812246239505
5322240000,-66.1159734158599
5322300000,-66.0594273104601
5322360000,-66.9380658675056
5322420000,-66.7720950649487
5322480000,-67.4145985209359
5322540000,-68.258386388619
5322600000,-67.8913443059544
5322660000,-68.5536102047285
5322720000,-69.1381933142657
5322780000,-69.6622837995635
5322840000,-69.4962395033554
5322900000,-69.7962772438394
5322960000,-70.4413603269811
5323020000,-70.4802383781994
5323080000,-70.5052481774507
5323140000,-71.2090526878397
5323200000,-71.4780393607243
5323260000,-72.8189529833338
5323320000,-71.9666764184944
5323380000,-72.5684423436641
5323440000,-73.0323121312317
5323500000,-73.7079171276847
5323560000,-73.755305743703
5323620000,-74.2627058208307
5323680000,-74.2822182949781
5323740000,-75.2367757936339
5323800000,-75.6352876772576
5323860000,-75.6502361956702
5323920000,-76.0655487279407
5323980000,-75.3514696246732
5324040000,-75.9276156630614
5324100000,-76.0195781784859
5324160000,-76.0479466375936
5324220000,-76.8515922730332
5324280000,-77.0364875103028
5324340000,-76.9185448087547
5324400000,-77.3393105699385
5324460000,-77.3560376347084
5324520000,-78.1167335804317
5324580000,-78.4929768877652
5324640000,-78.2705923586062
5324700000,-79.3272545867671
5324760000,-79.2098777863327
5324820000,-79.0052493232849
5324880000,-79.4524066545871
5324940000,-80.1054123533198
5325000000,-79.8792722985884
5325060000,-79.8440540507444
5325120000,-80.4924737456471
5325180000,-80.8319702274191
5325240000,-80.509325659398
5325300000,-80.1077195126102
5325360000,-80.7289612553276
5325420000,-82.0589757694756
5325480000,-81.7446874295872
5325540000,-81.5910782591491
5325600000,-82.7838874760154
5325660000,-82.2570407983489
5325720000,-82.3605197689045
5325780000,-82.6089943637606
5325840000,-81.7274967232347
5325900000,-81.9731638606179
5325960000,-82.7391219517615
5326020000,-82.9982237285701
5326080000,-82.8128946983073
5326140000,-83.5104375496206
5326200000,-83.0658082194655
5326260000,-83.8195516657925
5326320000,-83.2028957464537
5326380000,-83.802868426536
5326440000,-83.5805941378536
5326500000,-84.1495010516062
5326560000,-84.5066874552036
5326620000,-84.8097678328441
5326680000,-84.3648959736402
5326740000,-84.1968673488519
5326800000,-84.5903375680086
5326860000,-84.4030830040864
5326920000,-84.156849785138
5326980000,-85.2636273339996
5327040000,-85.1047780662365
5327100000,-84.5919025316485
5327160000,-85.6083269858196
5327220000,-85.9894355728575
5327280000,-85.9426935205173
5327340000,-85.1290746161688
5327400000,-85.5521260299026
5327460000,-86.215053371537
5327520000,-85.4143105548651
5327580000,-86.7020074246964
5327640000,-86.1600431029939
5327700000,-86.6410369112731
5327760000,-85.910495230154
5327820000,-86.1135287005207
5327880000,-85.7572460883806
5327940000,-86.0091381380139
5328000000,-86.3799796619899
5328060000,-86.1422643572067
5328120000,-86.9323210165536
5328180000,-86.6162908771336
5328240000,-86.1891162891203
5328300000,-86.2109732107384
5328360000,-86.5173093571237
5328420000,-86.8058747386674
5328480000,-87.2097002132674
5328540000,-86.4424411040472
5328600000,-86.2300811089014
5328660000,-86.6337963430247
5328720000,-87.0038367862034
5328780000,-87.7826856637542
5328840000,-86.2879129020669
5328900000,-87.3905601077355
5328960000,-86.9025107284969
5329020000,-87.4260794088717
5329080000,-87.1583860437953
5329140000,-86.8430614434261
5329200000,-88.0762480722194
5329260000,-88.0716693275286
5329320000,-87.8257153844545
5329380000,-87.4799129669645
5329440000,-87.8598456555844
5329500000,-87.3857233232336
5329560000,-88.1238640674272
5329620000,-87.9261293088549
5329680000,-87.7061627208178
5329740000,-87.5164681676783
5329800000,-87.9123416292268
5329860000,-88.1477711010086
5329920000,-87.2749163138548
5329980000,-87.189318168166
5330040000,-86.8816295581484
5330100000,-88.0974128903558
5330160000,-87.677800799043
5330220000,-87.661102951282
5330280000,-88.0127185361242
5330340000,-87.7857259550398
5330400000,-87.991993146056
5330460000,-88.2648602837198
5330520000,-87.640222953869
5330580000,-87.7185817944706
5330640000,-87.5966042914759
5330700000,-88.3402644088689
5330760000,-88.3017536454546
5330820000,-88.3627459362958
5330880000,-87.2927370806394
5330940000,-87.3389938944304
5331000000,-87.3074576785077
5331060000,-88.7063577918533
5331120000,-88.7872668621489
5331180000,-87.3907330639178
5331240000,-88.0336333856211
5331300000,-87.7981008422762
5331360000,-88.2229601998276
5331420000,-87.3414919567622
5331480000,-88.5898329764171
5331540000,-87.7713193949037
5331600000,-87.8812217105673
5331660000,-87.4498873819003
5331720000,-87.4864577324734
5331780000,-88.652515260331
5331840000,-87.7929407759351
5331900000,-86.9672983102628
5331960000,-88.4840748906446
5332020000,-88.0718342125394
5332080000,-86.7877750979871
