Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-85.8708800009222
5280060000,-86.1347759164081
5280120000,-86.0609023606977
5280180000,-86.3164787948765
5280240000,-85.4672692679133
5280300000,-86.2116446263464
5280360000,-86.3522696408038
5280420000,-85.7296336908877
5280480000,-85.9073803485273
5280540000,-86.2337605661981
5280600000,-86.0659033294315
5280660000,-85.4107611376238
5280720000,-85.0745887410552
5280780000,-85.8189714488534
5280840000,-84.8477183648353
5280900000,-85.5464982621116
5280960000,-85.0371380766716
5281020000,-85.4196600944353
5281080000,-85.2940396589691
5281140000,-85.6626493285753
5281200000,-85.2618245671137
5281260000,-85.7088225650076
5281320000,-85.9082131029029
5281380000,-85.2056013618348
5281440000,-85.1536289141591
5281500000,-85.6940152945351
5281560000,-85.9705888648398
5281620000,-85.2314434297984
5281680000,-84.6871223145191
5281740000,-85.2853628970592
5281800000,-84.6573251637856
5281860000,-85.0806582060179
5281920000,-85.8438920353293
5281980000,-85.7516744642985
5282040000,-85.7552779156019
5282100000,-85.2241856575249
5282160000,-84.8187748922332
5282220000,-85.2368751865057
5282280000,-84.9605266219512
5282340000,-84.8738210747547
5282400000,-85.7439734677198
5282460000,-84.9711752898292
5282520000,-85.7111777760204
5282580000,-84.9747075098799
5282640000,-84.4715501885947
5282700000,-84.609169312721
5282760000,-84.380679813778
5282820000,-85.7205448298007
5282880000,-84.9141380052516
5282940000,-84.6230833611074
5283000000,-84.9439589043091
5283060000,-85.176443633305
5283120000,-84.3437848765748
5283180000,-84.5706693893551
5283240000,-85.1989615258394
5283300000,-85.0941838898318
5283360000,-85.3094343576394
5283420000,-84.5626455828812
5283480000,-84.08821692982
5283540000,-84.436336569493
5283600000,-85.255962077311
5283660000,-85.2310426426136
5283720000,-84.8871754607725
5283780000,-84.6707609687089
5283840000,-84.4196060277595
5283900000,-85.91180868383
5283960000,-85.6663641995728
5284020000,-84.803506901596
5284080000,-83.9621758940331
5284140000,-84.62237162447
5284200000,-84.3097833405468
5284260000,-85.180141515735
5284320000,-84.119380514014
5284380000,-84.8742875126532
5284440000,-84.7062318430285
5284500000,-83.8087957821984
5284560000,-84.7968025941044
5284620000,-84.0817924740918
5284680000,-83.8626146207461
5284740000,-83.7935034536283
5284800000,-84.297091562887
5284860000,-83.4420686881199
5284920000,-83.1030814847134
5284980000,-83.5671667564935
5285040000,-83.4026240833925
5285100000,-83.91234891252
5285160000,-84.4649425883475
5285220000,-84.0725622474
5285280000,-83.2599746067914
5285340000,-83.7209363983987
5285400000,-84.1893063500392
5285460000,-84.6081342314577
5285520000,-84.35414978494
5285580000,-83.6898576335675
5285640000,-82.7022963083651
5285700000,-83.7019151171486
5285760000,-82.7883251518015
5285820000,-83.8092718181409
5285880000,-82.8567375670638
5285940000,-83.1405135151786
5286000000,-84.683948595447
5286060000,-83.5852060748257
5286120000,-82.6777381306171
5286180000,-83.273149207589
5286240000,-83.327176652928
5286300000,-83.1897972332822
5286360000,-83.1373470768741
5286420000,-82.9639484188129
5286480000,-82.5045712655016
5286540000,-83.3549979625053
5286600000,-83.589952078179
5286660000,-83.3181748187245
5286720000,-82.6692354910715
5286780000,-82.6255898740681
5286840000,-82.5883676021726
5286900000,-81.7702679377298
5286960000,-81.8808928437986
5287020000,-82.2323564445977
5287080000,-82.5017717332831
5287140000,-82.0234185192518
5287200000,-82.5539861478377
5287260000,-81.9260880525013
5287320000,-82.1423821301549
5287380000,-82.1991435393157
5287440000,-82.7287410517068
5287500000,-82.981848099208
5287560000,-82.7105926446764
5287620000,-82.2452992524497
5287680000,-82.5506970327248
5287740000,-81.9766403862012
5287800000,-81.9475097652945
5287860000,-82.5112009824416
5287920000,-83.2988567520212
5287980000,-82.3476233385688
5288040000,-82.9287545991275
5288100000,-81.2653603569278
5288160000,-82.9984678520146
5288220000,-82.8772129394251
5288280000,-83.0088496803501
5288340000,-81.8532965674106
5288400000,-81.0161106017711
5288460000,-81.604333999663
5288520000,-82.0013342666981
5288580000,-82.3714579055173
5288640000,-82.319911721018
5288700000,-82.5092483274397
5288760000,-82.9039482431945
5288820000,-82.4890347488126
5288880000,-82.7226145332104
5288940000,-81.6080120826767
5289000000,-82.4468635296285
5289060000,-81.7834092058787
5289120000,-81.5520461051768
5289180000,-82.0792991700971
5289240000,-82.9373251106268
5289300000,-82.2900981850451
5289360000,-82.1934856936772
5289420000,-81.4272504988319
5289480000,-82.1493866784352
5289540000,-81.2535674779296
5289600000,-81.7262294587958
5289660000,-80.5664137140912
5289720000,-81.6860329564284
5289780000,-82.6647648695627
5289840000,-81.1265450139558
5289900000,-80.9896506524073
5289960000,-80.8026262714279
5290020000,-80.8400074047875
5290080000,-81.0215389854599
5290140000,-80.9750491641579
5290200000,-81.7203064464045
5290260000,-81.6881846338971
5290320000,-81.6811829513435
5290380000,-80.1806285919372
5290440000,-80.1984016191772
5290500000,-81.3758971117738
5290560000,-80.7160954224848
5290620000,-80.7154729888487
5290680000,-80.0755660309188
5290740000,-80.4848617857866
5290800000,-80.9083785621468
5290860000,-80.9801032786762
5290920000,-80.9934960843093
5290980000,-80.8714327415574
5291040000,-80.603462453231
5291100000,-80.6876002474352
5291160000,-80.3293062618785
5291220000,-80.6722886953381
5291280000,-79.7220180487156
5291340000,-80.3783112662777
5291400000,-79.9966095528384
5291460000,-80.5202908263141
5291520000,-80.3030385066277
5291580000,-80.5548741139644
5291640000,-79.7929382977098
5291700000,-79.4186226962083
5291760000,-80.3805172138703
5291820000,-80.1422457099628
5291880000,-79.0912226170156
5291940000,-78.483270698594
5292000000,-79.7400217445617
5292060000,-79.9507655348074
5292120000,-79.3464500353683
5292180000,-79.0838138693653
5292240000,-78.6347904547492
5292300000,-79.5890474653114
5292360000,-79.5072571266268
5292420000,-80.2153912489431
5292480000,-79.6175137933424
5292540000,-79.3276555789635
5292600000,-78.6555495357284
5292660000,-78.5397610340344
5292720000,-78.7382607820029
5292780000,-78.0095278805776
5292840000,-79.0387484152853
5292900000,-79.9239728393477
5292960000,-78.4566948884218
5293020000,-78.969879751769
5293080000,-78.0831722472547
5293140000,-78.8995845657705
5293200000,-78.2126034075481
5293260000,-77.9864788874231
5293320000,-78.1910639097047
5293380000,-78.7275977060138
5293440000,-78.7842547073148
5293500000,-77.9135173731896
5293560000,-78.0016517052667
5293620000,-78.4611862032941
5293680000,-78.1304434707955
5293740000,-76.8565493640696
5293800000,-77.3448860239721
5293860000,-76.7424372632714
5293920000,-77.4722961088597
5293980000,-76.3854359948769
5294040000,-76.5993253133906
5294100000,-77.0536123647279
5294160000,-76.4312615233032
5294220000,-76.3931190640206
5294280000,-75.9201293697732
5294340000,-75.8127117949422
5294400000,-76.2195513451144
5294460000,-76.8157252393098
5294520000,-75.8438312437788
5294580000,-75.6693948084885
5294640000,-75.1524632602347
5294700000,-75.0444577361946
5294760000,-75.1583368942602
5294820000,-73.8369952863692
5294880000,-74.1794396994275
5294940000,-73.1056394072492
5295000000,-72.8679837332629
5295060000,-73.2215844825616
5295120000,-73.0143478307752
5295180000,-73.8243882497386
5295240000,-73.1271032816288
5295300000,-73.126310295847
5295360000,-72.6786832606022
5295420000,-72.5252807082634
5295480000,-71.9817150608426
5295540000,-71.525459870956
5295600000,-71.4303524826881
5295660000,-70.723763218346
5295720000,-71.2189715346287
5295780000,-69.4304307865485
5295840000,-69.627681142448
5295900000,-69.378920577777
5295960000,-69.4170277815346
5296020000,-68.3150206260554
5296080000,-69.0180395902535
5296140000,-67.9669414869071
5296200000,-68.4098737691459
5296260000,-66.9540681771603
5296320000,-66.5160394127521
5296380000,-67.3089925578295
5296440000,-66.662183029311
5296500000,-65.5697373978428
5296560000,-66.1832116975126
5296620000,-65.6121153283811
5296680000,-65.4860744623554
5296740000,-65.2980270028771
5296800000,-64.5243968299808
5296860000,-63.9966837631072
5296920000,-63.2746020371085
5296980000,-62.7346596266881
5297040000,-62.6784009824037
5297100000,-61.5424544588358
5297160000,-61.5216858986788
5297220000,-61.7578217453875
5297280000,-61.8442363260283
5297340000,-61.8005818429116
5297400000,-60.6106101364031
5297460000,-60.1577724012937
5297520000,-60.2978152991591
5297580000,-59.5805768047694
5297640000,-59.7721608001672
5297700000,-58.6800899863198
5297760000,-57.7623093661106
5297820000,-58.0780608850809
5297880000,-58.1031744113201
5297940000,-56.2795698422891
5298000000,-56.2496807200277
5298060000,-55.6620850262191
5298120000,-55.093244912177
5298180000,-54.0846114404496
5298240000,-54.5632469384039
5298300000,-55.0212821659484
5298360000,-54.4345022516672
5298420000,-53.3969563775879
5298480000,-52.8712570367552
5298540000,-52.5589171144977
5298600000,-51.3401579448443
5298660000,-51.7572278112529
5298720000,-51.8714670882089
5298780000,-51.3279381876136
5298840000,-50.7079170949295
5298900000,-50.4321990590267
5298960000,-49.863777858796
5299020000,-49.6870851684163
5299080000,-50.2265072652145
5299140000,-50.0865760991266
5299200000,-50.32465952759
5299260000,-50.9630114281649
5299320000,-49.8880940324896
5299380000,-49.5554845612523
5299440000,-49.8068482924737
5299500000,-48.8372179013973
5299560000,-49.3555840671487
5299620000,-48.8153991276796
5299680000,-49.1127331376784
5299740000,-49.1850295879385
5299800000,-50.3480306157855
5299860000,-49.3313863360857
5299920000,-49.8326284811254
5299980000,-49.7263353591565
5300040000,-49.0648711966041
5300100000,-48.8555179276653
5300160000,-49.6096370274893
5300220000,-50.2147477496612
5300280000,-49.8464277133433
5300340000,-50.5877589178718
5300400000,-50.8005384822536
5300460000,-50.6627312826832
5300520000,-51.2098261166586
5300580000,-50.1369150976589
5300640000,-49.8983921985894
5300700000,-50.6863110285648
5300760000,-51.3581760340518
5300820000,-50.5082668006548
5300880000,-50.9473774130351
5300940000,-50.6376318166623
5301000000,-51.3661383790698
5301060000,-51.8777210808226
5301120000,-52.1041337174877
5301180000,-51.4305063556745
5301240000,-50.8387141743867
5301300000,-51.5674632658429
5301360000,-52.1558100861938
5301420000,-51.876240982972
5301480000,-51.438675228566
5301540000,-52.0889845461786
5301600000,-52.1158398719493
5301660000,-52.3571055755064
5301720000,-52.5208428264938
5301780000,-51.5779861725215
5301840000,-51.6942024286927
5301900000,-51.8078978526304
5301960000,-52.0093226479137
5302020000,-52.658632451871
5302080000,-52.334937760515
5302140000,-51.3086511137878
5302200000,-52.0265525423384
5302260000,-52.808533085303
5302320000,-51.9253606254077
5302380000,-52.5312356815513
5302440000,-52.3938253476969
5302500000,-52.8493029961823
5302560000,-52.7696292746502
5302620000,-52.4371447426199
5302680000,-52.7492656752247
5302740000,-53.8717570025727
5302800000,-53.1051381239934
5302860000,-52.6770897974078
5302920000,-53.3850181375009
5302980000,-53.5596177501243
5303040000,-53.0787936326672
5303100000,-53.8609358616644
5303160000,-53.213281156158
5303220000,-53.2928681766095
5303280000,-52.3376939867089
5303340000,-53.0542725295392
5303400000,-52.5451533563998
5303460000,-52.7148876893188
5303520000,-53.7297328658669
5303580000,-54.3885968444702
5303640000,-53.9721605147621
5303700000,-53.439119158182
5303760000,-53.6674720272368
5303820000,-53.377363934444
5303880000,-54.1341729018991
5303940000,-55.3019436677039
5304000000,-53.5249487722152
5304060000,-54.001717531431
5304120000,-53.9093735044453
5304180000,-54.715636349741
5304240000,-53.4749172771321
5304300000,-53.5083796821387
5304360000,-53.9712287438318
5304420000,-53.5075065989911
5304480000,-53.7091518752278
5304540000,-53.7960662126962
5304600000,-54.1837606667508
5304660000,-53.6663514097648
5304720000,-54.5004683488361
5304780000,-54.7732040338041
5304840000,-54.0498729157363
5304900000,-55.1882021249013
5304960000,-55.1407847668471
5305020000,-55.5536360976811
5305080000,-55.7250975314015
5305140000,-54.9223785713906
5305200000,-54.8532585381598
5305260000,-54.837222969135
5305320000,-55.5861387184595
5305380000,-55.3492032822542
5305440000,-55.285161660316
5305500000,-55.6435027501121
5305560000,-55.4289240825785
5305620000,-55.4530748419878
5305680000,-55.8710045841145
5305740000,-55.6539418311729
5305800000,-56.4483721986379
5305860000,-56.0618551343019
5305920000,-55.4766259360594
5305980000,-55.3769398933265
5306040000,-54.8323159373295
5306100000,-54.8331471612375
5306160000,-54.0228730538912
5306220000,-56.0243925448615
5306280000,-55.5231445417573
5306340000,-54.6276177991082
5306400000,-55.3997648915526
5306460000,-55.045665876727
5306520000,-54.9913033686416
5306580000,-56.3602777031261
5306640000,-55.2851104290369
5306700000,-55.3863560284744
5306760000,-54.9763356945093
5306820000,-55.6129604942828
5306880000,-55.2619041166137
5306940000,-55.1159905673243
5307000000,-55.0443790993204
5307060000,-54.301373730847
5307120000,-54.8206806153328
5307180000,-54.6504112700612
5307240000,-55.7475693358671
5307300000,-54.7307192739441
5307360000,-54.7684884069066
5307420000,-54.846436518938
5307480000,-54.2827409604746
5307540000,-54.2297821811257
5307600000,-54.2112478279628
5307660000,-54.4086892673552
5307720000,-54.9642799674005
5307780000,-54.7964506113462
5307840000,-53.8967788267738
5307900000,-54.7244503726417
5307960000,-54.5936838648488
5308020000,-54.2311477788743
5308080000,-53.4274513533035
5308140000,-53.1270761974488
5308200000,-54.0126092948458
5308260000,-54.0018285218764
5308320000,-53.707031534142
5308380000,-53.0960648592762
5308440000,-53.4364367513728
5308500000,-53.6891968619655
5308560000,-53.2772803918014
5308620000,-52.9831595456573
5308680000,-53.7867031258615
5308740000,-54.2607746680811
5308800000,-53.879225774561
5308860000,-52.2822756255935
5308920000,-52.6745119872876
5308980000,-52.4282134599293
5309040000,-53.5741639607157
5309100000,-52.3654146263453
5309160000,-52.3492173712882
5309220000,-52.9807858078644
5309280000,-52.4109902763578
5309340000,-53.0173283425035
5309400000,-52.6426952015541
5309460000,-53.5250680719529
5309520000,-51.63622318882
5309580000,-52.0287314770232
5309640000,-52.1973928026358
5309700000,-51.7160615789861
5309760000,-52.2273429567692
5309820000,-51.9388370255709
5309880000,-51.7430359858992
5309940000,-51.4871538864345
5310000000,-51.2542973478666
5310060000,-51.6062812368405
5310120000,-51.7554887930009
5310180000,-51.6883236908899
5310240000,-51.8127271397962
5310300000,-51.5640180206811
5310360000,-51.9002448708543
5310420000,-52.7079040955213
5310480000,-51.5487997224845
5310540000,-51.1175397233449
5310600000,-51.0485960748766
5310660000,-51.8088371958392
5310720000,-50.6924252847397
5310780000,-50.6867743686187
5310840000,-50.7650311539849
5310900000,-51.6615589015899
5310960000,-51.34774910631
5311020000,-50.8082697058917
5311080000,-50.8490961747408
5311140000,-50.6452475802712
5311200000,-50.797887289939
5311260000,-50.5822209163688
5311320000,-50.6355266071787
5311380000,-50.5758872549426
5311440000,-49.818469781484
5311500000,-51.0340334686142
5311560000,-51.4782077935569
5311620000,-51.2060762478289
5311680000,-50.2002796310347
5311740000,-50.4755508469665
5311800000,-51.2184915624546
5311860000,-50.4601554183569
5311920000,-50.208455107641
5311980000,-49.5199820283009
5312040000,-50.2335179339747
5312100000,-50.5509892043812
5312160000,-50.666125103881
5312220000,-49.4561925217275
5312280000,-50.8435182208974
5312340000,-50.3213318765882
5312400000,-50.4956081171467
5312460000,-49.788056085975
5312520000,-48.9476054854775
5312580000,-48.8074097422455
5312640000,-49.71371214545
5312700000,-49.3258134004729
5312760000,-49.0272682365312
5312820000,-49.4280813073113
5312880000,-49.9336669271324
5312940000,-49.5739015518052
5313000000,-50.1260968451686
5313060000,-48.7807889576464
5313120000,-49.9256884992219
5313180000,-49.8041454446449
5313240000,-48.7818568525388
5313300000,-49.7916162684291
5313360000,-49.6770551107089
5313420000,-49.7130824441398
5313480000,-49.941009050018
5313540000,-48.1496755431952
5313600000,-49.6059750339441
5313660000,-48.8610588305414
5313720000,-49.6754647723816
5313780000,-49.5373121526509
5313840000,-48.8920165933455
5313900000,-49.6297760064295
5313960000,-49.7439785365599
5314020000,-49.3860330753668
5314080000,-49.0651891017983
5314140000,-49.6120111733884
5314200000,-49.6362198918425
5314260000,-50.2297765761818
5314320000,-49.5325128202912
5314380000,-48.9975744916361
5314440000,-48.9732480028885
5314500000,-48.9611288095925
5314560000,-49.8984740951552
5314620000,-49.2763208507123
5314680000,-49.195264612663
5314740000,-50.4068073612006
5314800000,-48.7574701018365
5314860000,-48.9317675546141
5314920000,-48.6240936433268
5314980000,-48.2593739600377
5315040000,-49.5504735859161
5315100000,-48.9541827573034
5315160000,-49.8861850544294
5315220000,-49.2830666656274
5315280000,-48.3568407890281
5315340000,-49.7586218534977
5315400000,-49.3643650718223
5315460000,-48.7967073696872
5315520000,-49.9323899715357
5315580000,-49.8938351119307
5315640000,-49.0919016981107
5315700000,-48.2254923041604
5315760000,-48.9260777926302
5315820000,-49.7032142681097
5315880000,-49.0890644822742
5315940000,-48.2718443890205
5316000000,-48.8969812952473
5316060000,-48.7809053324378
5316120000,-49.0095733883162
5316180000,-49.8243606612661
5316240000,-49.6009692690867
5316300000,-48.86502580461
5316360000,-49.1519449283686
5316420000,-48.43255958349
5316480000,-47.5802095249995
5316540000,-48.0686041439469
5316600000,-47.3669160702586
5316660000,-48.7681900285355
5316720000,-49.0195749719761
5316780000,-49.0205302992149
5316840000,-47.9778022868553
5316900000,-47.960685525283
5316960000,-48.9488516705972
5317020000,-48.4725392274429
5317080000,-49.5305243413241
5317140000,-48.9941308383767
5317200000,-48.7767291787638
5317260000,-48.7045289256747
5317320000,-48.8111828219587
5317380000,-48.5513753256478
5317440000,-48.953253218493
5317500000,-49.1876317310638
5317560000,-49.5357490181125
5317620000,-48.7445750748169
5317680000,-48.6073255911188
5317740000,-49.3362428820965
5317800000,-49.1371705390737
5317860000,-49.3084768002506
5317920000,-48.9360108861332
5317980000,-50.0914044852128
5318040000,-49.1803844450309
5318100000,-49.7777187030378
5318160000,-49.4147628673757
5318220000,-49.6297243573198
5318280000,-50.6754213327331
5318340000,-49.456823013236
5318400000,-49.1157756349738
5318460000,-50.834005662449
5318520000,-50.5175419104874
5318580000,-48.6632014606806
5318640000,-50.1884886058625
5318700000,-50.2499880028965
5318760000,-49.4398012520554
5318820000,-48.9619380928624
5318880000,-49.6398360912305
5318940000,-49.0456545304051
5319000000,-49.074169976815
5319060000,-50.1430395004275
5319120000,-50.1127967727645
5319180000,-49.8605958693449
5319240000,-49.200159782032
5319300000,-50.0187907729356
5319360000,-50.09470962432
5319420000,-49.9823009947015
5319480000,-50.4409453836741
5319540000,-50.1930585575754
5319600000,-49.8154774853399
5319660000,-50.2582913418606
5319720000,-50.0003432349232
5319780000,-49.5703244426113
5319840000,-49.5182541005648
5319900000,-50.1285526386299
5319960000,-50.0927978871328
5320020000,-49.9174713427878
5320080000,-50.4096949809586
5320140000,-49.9782945080056
5320200000,-49.5178346453986
5320260000,-49.86841396976
5320320000,-49.0411252463025
5320380000,-50.3828766965348
5320440000,-49.9545703062941
5320500000,-49.5016067961016
5320560000,-50.4130382202783
5320620000,-50.4939766880343
5320680000,-50.3329299601026
5320740000,-51.7062175360318
5320800000,-51.8290767823884
5320860000,-52.204930573371
5320920000,-52.5946599656856
5320980000,-51.950208747492
5321040000,-52.3544457865383
5321100000,-52.72075275224
5321160000,-52.4426747342599
5321220000,-52.7950399543436
5321280000,-53.9616045883939
5321340000,-53.5978991174904
5321400000,-54.0032459106686
5321460000,-54.1706276108756
5321520000,-55.6034744416749
5321580000,-55.6087952917905
5321640000,-55.2154277832936
5321700000,-55.4577362608205
5321760000,-56.1918201554722
5321820000,-56.7455506302678
5321880000,-57.1290257128719
5321940000,-57.3282154652849
5322000000,-58.69665246024
5322060000,-58.4446352909481
5322120000,-58.538324907174
5322180000,-59.1852894277844
5322240000,-59.9895009643376
5322300000,-60.8322305234445
5322360000,-60.9035413229034
5322420000,-60.7676000261953
5322480000,-61.3069330947359
5322540000,-60.8586364313898
5322600000,-61.9480033343005
5322660000,-61.8692547968963
5322720000,-62.8264139708017
5322780000,-63.2906291785296
5322840000,-64.0765334465881
5322900000,-64.7294876997648
5322960000,-66.120105078629
5323020000,-65.7988127937886
5323080000,-66.0258639893423
5323140000,-66.9971412936285
5323200000,-66.8995416347113
5323260000,-66.2660042237095
5323320000,-66.7873901426459
5323380000,-67.7548604758038
5323440000,-68.0374067273206
5323500000,-67.5791149274217
5323560000,-68.777671347806
5323620000,-69.3305125494231
5323680000,-69.992300739465
5323740000,-69.957089840986
5323800000,-70.0764213920887
5323860000,-71.1255578703747
5323920000,-70.203300650936
5323980000,-71.3083878458219
5324040000,-71.0805280396542
5324100000,-71.4735499475391
5324160000,-71.7966279476503
5324220000,-71.8555844643553
5324280000,-71.9160402515434
5324340000,-73.1845405797013
5324400000,-72.8157273000448
5324460000,-72.9527781704332
5324520000,-73.6901545806552
5324580000,-73.3488132277884
5324640000,-74.1736323841165
5324700000,-73.872029048412
5324760000,-74.6742856538454
5324820000,-74.3572119045794
5324880000,-73.7371385304634
5324940000,-74.3928340968271
5325000000,-75.1404628713808
5325060000,-75.7402444679702
5325120000,-76.2273235505623
5325180000,-76.2035556135633
5325240000,-75.676973513041
5325300000,-75.9851690487996
5325360000,-76.7514137651826
5325420000,-76.3260103741614
5325480000,-77.0498419044813
5325540000,-78.072388379791
5325600000,-77.6156399465657
5325660000,-78.2929205982643
5325720000,-78.5395505024772
5325780000,-77.9934925844071
5325840000,-77.8316447756782
5325900000,-78.2688069704276
5325960000,-78.7444651396352
5326020000,-78.725915251866
5326080000,-78.2918837062028
5326140000,-79.5526378035324
5326200000,-79.6809282307071
5326260000,-79.2335722860953
5326320000,-79.4663045408808
5326380000,-79.4270955877809
5326440000,-80.5544660576873
5326500000,-80.484279530639
5326560000,-80.4639731446078
5326620000,-80.4126744858982
5326680000,-81.0884191202884
5326740000,-81.4225064693377
5326800000,-82.3063557262479
5326860000,-81.5350691649462
5326920000,-81.0830243253927
5326980000,-81.9765159493302
5327040000,-82.0517660084894
5327100000,-82.6016674640615
5327160000,-82.9278762937105
5327220000,-82.9337924424001
5327280000,-82.4811376055423
5327340000,-83.5124298253356
5327400000,-83.4303961217263
5327460000,-83.8783692325559
5327520000,-83.2232467362191
5327580000,-82.8382942507759
5327640000,-83.5843061650049
5327700000,-83.9017692501701
5327760000,-83.8266586484966
5327820000,-84.4208179807751
5327880000,-83.9414922979248
5327940000,-83.8601641333663
5328000000,-84.6834325736557
5328060000,-84.4782970044153
5328120000,-84.0828863724172
5328180000,-84.0112520204418
5328240000,-84.648192007039
5328300000,-84.4986837823336
5328360000,-85.1126276054943
5328420000,-85.7352436794877
5328480000,-84.8643144259934
5328540000,-85.1592370083592
5328600000,-84.8545101924819
5328660000,-86.2361833940042
5328720000,-85.6283246647049
5328780000,-85.4281940131059
5328840000,-85.299330155001
5328900000,-85.4048302009623
5328960000,-86.0249989363733
5329020000,-86.561127681725
5329080000,-85.1424208489501
5329140000,-85.6903159278466
5329200000,-85.2246674134703
5329260000,-85.9961669259087
5329320000,-85.7509479193457
5329380000,-85.2143265860799
5329440000,-86.1279187235995
5329500000,-86.66952274596
5329560000,-86.4892427295293
5329620000,-86.0997262883513
5329680000,-85.7222848540528
5329740000,-86.3362654240393
5329800000,-86.5918615536892
5329860000,-85.9848773988382
5329920000,-87.2975988568769
5329980000,-86.8191844953005
5330040000,-87.5382389382975
5330100000,-87.2423607580154
5330160000,-87.2690535618775
5330220000,-86.4170415741822
5330280000,-87.2894184721521
5330340000,-86.9122636630931
5330400000,-86.6901290123479
5330460000,-87.3870912638172
5330520000,-87.4535882291276
5330580000,-86.6202289300873
5330640000,-87.0194390033968
5330700000,-86.7373776295258
5330760000,-87.3580093749389
5330820000,-87.5826132319102
5330880000,-87.4796264883657
5330940000,-87.7576455309733
5331000000,-87.3500716997143
5331060000,-87.4489426183444
5331120000,-87.2338339606466
5331180000,-87.432531305597
5331240000,-87.2533095977425
5331300000,-86.5400903701931
5331360000,-88.2920319354386
5331420000,-87.5967451587631
5331480000,-87.0749989404846
5331540000,-86.8080552106496
5331600000,-87.3091642312413
5331660000,-87.899810566996
5331720000,-87.0192609945697
5331780000,-87.4680498849267
5331840000,-87.6564654680851
5331900000,-87.4487282235949
5331960000,-87.6184543712727
5332020000,-87.5391399327549
5332080000,-86.5815543152213
