Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-85.4740846026059
5280060000,-85.5450817319892
5280120000,-86.325424883282
5280180000,-87.0721226410906
5280240000,-86.169167207061
5280300000,-85.2607364960229
5280360000,-86.5903270996186
5280420000,-86.1130248447984
5280480000,-85.6938928148421
5280540000,-85.6788215293953
5280600000,-85.5684216290767
5280660000,-85.0647719003289
5280720000,-85.5921205069957
5280780000,-85.5319829146801
5280840000,-84.7918232672533
5280900000,-84.9755890549198
5280960000,-85.4649781907814
5281020000,-85.6268722678737
5281080000,-86.1487970430877
5281140000,-85.921446695737
5281200000,-85.4384119361293
5281260000,-85.0172294333066
5281320000,-85.6913816080917
5281380000,-85.0206293647854
5281440000,-84.9110525933594
5281500000,-84.9226227564446
5281560000,-86.1146185464077
5281620000,-85.5287441207835
5281680000,-85.088460618034
5281740000,-84.851658987149
5281800000,-84.7726114783994
5281860000,-84.6429268440261
5281920000,-84.99077455719
5281980000,-85.2551040852176
5282040000,-85.0058305817369
5282100000,-85.5007905363537
5282160000,-85.3034549961217
5282220000,-85.8383734488542
5282280000,-85.1275304188603
5282340000,-84.5646301085771
5282400000,-84.9815324563362
5282460000,-84.6721999411577
5282520000,-85.0077374677584
5282580000,-85.6516102582808
5282640000,-84.8398971921205
5282700000,-84.8023662468905
5282760000,-85.3926915632045
5282820000,-84.7733187313984
5282880000,-84.9396297769232
5282940000,-85.2047456870179
5283000000,-85.5698864562909
5283060000,-85.2683883643222
5283120000,-84.8663950538078
5283180000,-85.1052443329911
5283240000,-84.8670463227346
5283300000,-86.4417088553652
5283360000,-84.6310847818707
5283420000,-84.1655635593256
5283480000,-83.9709178867246
5283540000,-85.0943220520947
5283600000,-84.8054060731982
5283660000,-85.5181130173624
5283720000,-83.8752088050959
5283780000,-84.6070093998219
5283840000,-84.4952719150528
5283900000,-84.3197713385694
5283960000,-84.6069353440009
5284020000,-84.6624767585531
5284080000,-85.8261554447385
5284140000,-84.9972448642154
5284200000,-85.0262477213471
5284260000,-85.2897100242914
5284320000,-84.5169485932264
5284380000,-83.8937687902921
5284440000,-84.1611997503971
5284500000,-84.3513447869811
5284560000,-84.8969859634125
5284620000,-85.2835942281785
5284680000,-85.2231406131631
5284740000,-85.0401216361699
5284800000,-84.3764100846413
5284860000,-85.2841985763465
5284920000,-84.291852814456
5284980000,-84.8737851558118
5285040000,-85.6333590012972
5285100000,-84.6012311260538
5285160000,-85.2484625764325
5285220000,-84.5978108467084
5285280000,-85.3650721281012
5285340000,-85.3323917638452
5285400000,-85.1298161262881
5285460000,-85.3753459783585
5285520000,-84.6688317244158
5285580000,-84.8224945125823
5285640000,-84.2127126022477
5285700000,-85.1918193330028
5285760000,-84.6221649561813
5285820000,-84.1756638905468
5285880000,-84.9273004217108
5285940000,-84.916940079301
5286000000,-85.206683711887
5286060000,-84.2791960971126
5286120000,-84.8806189547463
5286180000,-83.7756882687004
5286240000,-84.5844661136126
5286300000,-85.1837429566335
5286360000,-86.0848876222772
5286420000,-85.653518899409
5286480000,-83.8499649151525
5286540000,-85.311336984577
5286600000,-84.9568720182439
5286660000,-84.1064718941324
5286720000,-83.7648830154761
5286780000,-84.3611613175312
5286840000,-84.6668236749503
5286900000,-84.5537486057309
5286960000,-83.9200077651302
5287020000,-84.964803121259
5287080000,-84.3717924621107
5287140000,-84.2619437641756
5287200000,-84.7733001523579
5287260000,-84.12337600978
5287320000,-83.957260572545
5287380000,-83.9117849636285
5287440000,-84.3605247610541
5287500000,-83.6532241250443
5287560000,-83.6760167686561
5287620000,-84.238252811511
5287680000,-84.9381204148239
5287740000,-84.4365799538634
5287800000,-84.340856735674
5287860000,-84.4868467866633
5287920000,-85.1344016091069
5287980000,-84.8059680940017
5288040000,-84.1906668104677
5288100000,-84.5615694819888
5288160000,-83.7834136169314
5288220000,-84.5179922716699
5288280000,-84.2124226314289
5288340000,-85.1148166891416
5288400000,-84.7004103009526
5288460000,-84.192453844249
5288520000,-84.4448847501598
5288580000,-84.5214453489331
5288640000,-84.7269946547924
5288700000,-84.3356873211514
5288760000,-84.9967355779413
5288820000,-84.4219954404621
5288880000,-84.5434459613414
5288940000,-84.6347787839904
5289000000,-84.1385592633713
5289060000,-83.4148548444308
5289120000,-84.8320939763559
5289180000,-84.4468498689324
5289240000,-83.8601670131458
5289300000,-84.0215025384896
5289360000,-82.8166131375513
5289420000,-83.032525048219
5289480000,-84.7906497821481
5289540000,-84.403656525828
5289600000,-83.563038406681
5289660000,-83.2598573101015
5289720000,-83.169094913363
5289780000,-84.5368066737962
5289840000,-83.8946067139513
5289900000,-83.3654546882638
5289960000,-83.5469054259199
5290020000,-83.0980819609099
5290080000,-83.2374869807587
5290140000,-83.5121938123248
5290200000,-83.8950832983441
5290260000,-83.6403345178548
5290320000,-83.6620762022554
5290380000,-83.5819997823902
5290440000,-84.0793923768592
5290500000,-82.9658849817273
5290560000,-83.1038862728395
5290620000,-82.8949828319206
5290680000,-83.3977110654612
5290740000,-83.8550937162588
5290800000,-83.1360928909903
5290860000,-82.087612678372
5290920000,-82.7596849828303
5290980000,-83.5664711497971
5291040000,-83.0880664902101
5291100000,-82.8649567265292
5291160000,-82.6835619592258
5291220000,-82.2912404131992
5291280000,-82.5266354907797
5291340000,-82.4003168656278
5291400000,-82.5330413125894
5291460000,-81.878575262372
5291520000,-81.4214911109758
5291580000,-81.9471126168411
5291640000,-82.0656895359615
5291700000,-81.8330329469997
5291760000,-82.6107744230427
5291820000,-82.8029478843978
5291880000,-82.4007634903903
5291940000,-81.7382498853751
5292000000,-81.187270245304
5292060000,-80.515098057783
5292120000,-81.146776734836
5292180000,-80.7499558606125
5292240000,-82.0726953391754
5292300000,-81.3446238806103
5292360000,-81.2393082242013
5292420000,-81.2378096993687
5292480000,-81.1285327351642
5292540000,-80.1787088830654
5292600000,-79.5799789011117
5292660000,-80.8341194057163
5292720000,-81.0420116422984
5292780000,-80.9276562668013
5292840000,-80.1939404958299
5292900000,-79.8182857931298
5292960000,-79.0155594837538
5293020000,-79.553864477055
5293080000,-79.3087638962099
5293140000,-78.5933333456378
5293200000,-79.4296330461475
5293260000,-78.8068853390068
5293320000,-79.2079482882007
5293380000,-79.6768311786511
5293440000,-79.3443760440811
5293500000,-79.490210241655
5293560000,-77.9320941379409
5293620000,-77.9753679453725
5293680000,-77.1066222891927
5293740000,-76.8422002274674
5293800000,-76.9674415039965
5293860000,-78.2699187829448
5293920000,-77.4207959316149
5293980000,-76.8778917270542
5294040000,-75.8087068361664
5294100000,-76.3998684633552
5294160000,-75.7378016528636
5294220000,-75.5702515726836
5294280000,-76.914480594835
5294340000,-77.0216350838227
5294400000,-76.3049110449909
5294460000,-75.026305995228
5294520000,-74.8715585090737
5294580000,-74.5235962141169
5294640000,-74.3829595089781
5294700000,-74.6142741721732
5294760000,-74.2565592697123
5294820000,-74.1399623378559
5294880000,-73.1973555622975
5294940000,-73.5880706054132
5295000000,-72.3270231889037
5295060000,-72.8219375305817
5295120000,-72.3663364341901
5295180000,-71.7711414968553
5295240000,-71.9108316251953
5295300000,-71.134467488477
5295360000,-71.2836162497166
5295420000,-70.9257396612232
5295480000,-70.4377646115119
5295540000,-70.775299648675
5295600000,-70.4305490262723
5295660000,-70.0685935401417
5295720000,-70.01774402858
5295780000,-68.64443505998
5295840000,-69.3456166829
5295900000,-69.1260698445504
5295960000,-68.1168263755186
5296020000,-68.1237869699304
5296080000,-68.0854313790595
5296140000,-67.0449090121098
5296200000,-66.0236566804846
5296260000,-66.537444191771
5296320000,-66.4128438013073
5296380000,-65.7977614819787
5296440000,-65.7710252373504
5296500000,-65.2527046590904
5296560000,-65.1270386106854
5296620000,-64.5198348107572
5296680000,-64.142136984556
5296740000,-64.3355289237715
5296800000,-64.1280938391271
5296860000,-63.4657257046658
5296920000,-62.9618319301212
5296980000,-62.4311717678376
5297040000,-63.1642716834404
5297100000,-62.1815888199245
5297160000,-62.0136271752982
5297220000,-61.4454779015767
5297280000,-61.0330469758548
5297340000,-59.9621937790865
5297400000,-59.9693013608005
5297460000,-59.5938303922283
5297520000,-58.0704106412095
5297580000,-58.7526823476955
5297640000,-58.9825491859634
5297700000,-57.4101532658362
5297760000,-57.6328030275638
5297820000,-57.0735611843584
5297880000,-55.9970710245491
5297940000,-57.0287756446648
5298000000,-55.2116238182024
5298060000,-55.8880160325986
5298120000,-54.6288721016531
5298180000,-55.4567567791093
5298240000,-54.6697654604387
5298300000,-54.4669457770848
5298360000,-54.6422582781241
5298420000,-53.0417657351725
5298480000,-51.9786293717722
5298540000,-51.5888712374216
5298600000,-51.4886192935751
5298660000,-52.9220328613642
5298720000,-51.9713050373566
5298780000,-50.8653806702725
5298840000,-49.9640185317242
5298900000,-50.9338194494989
5298960000,-50.5224982779089
5299020000,-49.5518463250819
5299080000,-49.6960783610612
5299140000,-50.4828727381744
5299200000,-49.4447389148862
5299260000,-50.4980800658925
5299320000,-49.767443678903
5299380000,-48.5645958847178
5299440000,-48.9568101983166
5299500000,-48.677513021604
5299560000,-48.6886113085739
5299620000,-48.0284406342813
5299680000,-48.6859008841482
5299740000,-48.3696290515556
5299800000,-48.8395482024867
5299860000,-49.0634106094579
5299920000,-49.0677401311594
5299980000,-49.1265504964384
5300040000,-48.3364209988649
5300100000,-48.5267996983843
5300160000,-49.0250800492838
5300220000,-48.8251633651493
5300280000,-49.0928794337455
5300340000,-49.792194317927
5300400000,-49.1702256434881
5300460000,-49.1268651349759
5300520000,-48.6793262921125
5300580000,-48.3666409496947
5300640000,-48.4595817665552
5300700000,-49.6354221352534
5300760000,-50.3332597970473
5300820000,-49.7992630230028
5300880000,-49.7119165642934
5300940000,-49.2778270595854
5301000000,-48.3155092867957
5301060000,-48.6992203849595
5301120000,-50.1915832103144
5301180000,-48.9532232839066
5301240000,-49.0709755573862
5301300000,-48.4590975612466
5301360000,-50.4822462337424
5301420000,-49.7937511063069
5301480000,-49.8447417471064
5301540000,-50.2598419836648
5301600000,-49.8643292964314
5301660000,-50.2976045129126
5301720000,-49.9770333017293
5301780000,-49.9584401536455
5301840000,-50.0847544374811
5301900000,-50.1023642619405
5301960000,-50.2906924885936
5302020000,-49.2639134344039
5302080000,-49.5539274767509
5302140000,-50.2589013720689
5302200000,-50.0995972795449
5302260000,-50.2441894344148
5302320000,-49.2095392101897
5302380000,-49.6565062938751
5302440000,-50.2050195553172
5302500000,-50.0651545335153
5302560000,-50.1209737071935
5302620000,-49.7605689371016
5302680000,-49.1718193929704
5302740000,-49.7978905044426
5302800000,-49.1237707351668
5302860000,-49.2030343835534
5302920000,-48.9663047295712
5302980000,-49.3221176377687
5303040000,-48.6500483413593
5303100000,-49.7996955727972
5303160000,-49.7822783231314
5303220000,-49.7178839316678
5303280000,-48.673040138032
5303340000,-49.1976165173033
5303400000,-49.6266217526542
5303460000,-49.0307506737291
5303520000,-48.8079995121906
5303580000,-49.2134206348961
5303640000,-49.2434655851256
5303700000,-48.788327498736
5303760000,-49.0139096571434
5303820000,-49.304548395525
5303880000,-49.2086252277296
5303940000,-49.1050734189475
5304000000,-50.7275347055205
5304060000,-49.4208697797589
5304120000,-49.4236559347868
5304180000,-48.5042805023482
5304240000,-47.6831807801915
5304300000,-47.0085465553578
5304360000,-47.7191206668913
5304420000,-48.4068162048303
5304480000,-49.0937327100673
5304540000,-48.817463471781
5304600000,-49.3219540362004
5304660000,-48.8112767976571
5304720000,-48.9375910814927
5304780000,-48.6477181683835
5304840000,-48.4048003489768
5304900000,-48.2326863130621
5304960000,-48.459672200206
5305020000,-49.1994085925052
5305080000,-48.3677037364913
5305140000,-48.4047893784983
5305200000,-48.3589227364828
5305260000,-48.3352364783762
5305320000,-48.3241543814372
5305380000,-48.645373828051
5305440000,-49.2213443175527
5305500000,-49.4291924579442
5305560000,-49.0739542915261
5305620000,-49.6161250508763
5305680000,-48.8417305440083
5305740000,-49.0261415590565
5305800000,-48.8241817514207
5305860000,-47.6497098559341
5305920000,-48.6651723791516
5305980000,-48.6036001438911
5306040000,-49.4950715282989
5306100000,-48.7728648630933
5306160000,-47.8168748936652
5306220000,-48.3606772120704
5306280000,-48.0188001914265
5306340000,-48.4417128030993
5306400000,-47.9800411311249
5306460000,-48.9401482363165
5306520000,-48.9800707332569
5306580000,-48.5504128957117
5306640000,-47.7201411658948
5306700000,-48.1435241369348
5306760000,-48.1883119135796
5306820000,-49.590792003611
5306880000,-48.2930933032863
5306940000,-47.3884680466282
5307000000,-48.1131896860029
5307060000,-47.657573890881
5307120000,-47.6148527771336
5307180000,-47.8570224525995
5307240000,-48.267154518342
5307300000,-47.8346818739588
5307360000,-48.0612929434819
5307420000,-47.1213466380941
5307480000,-47.3331707850113
5307540000,-48.203953706628
5307600000,-47.6598074593632
5307660000,-47.488178481546
5307720000,-47.7495593974154
5307780000,-48.1091498792806
5307840000,-47.8303010138399
5307900000,-47.9866374541591
5307960000,-47.1231833408602
5308020000,-46.5777509547008
5308080000,-46.5299293815655
5308140000,-46.3649515791748
5308200000,-46.3363779932685
5308260000,-46.3802397499091
5308320000,-46.6990927009567
5308380000,-47.9907737625551
5308440000,-47.2508918742544
5308500000,-46.2278462975417
5308560000,-45.9055773830175
5308620000,-46.2864001806921
5308680000,-46.9256119569852
5308740000,-46.1703772449649
5308800000,-46.5111386534124
5308860000,-47.8342162027705
5308920000,-46.047160026443
5308980000,-46.4621720706201
5309040000,-45.4020048507252
5309100000,-46.2271408656293
5309160000,-46.9866323513504
5309220000,-46.4609036130571
5309280000,-45.9264879252011
5309340000,-45.4889295201602
5309400000,-46.9524240393539
5309460000,-47.1693339469289
5309520000,-46.4130262276022
5309580000,-46.2133079763256
5309640000,-46.6653534713036
5309700000,-46.5325217919142
5309760000,-46.481767822099
5309820000,-45.7513445666978
5309880000,-45.8093244537191
5309940000,-46.1135742162886
5310000000,-46.0872421867416
5310060000,-45.852313127212
5310120000,-46.1107028514808
5310180000,-45.5262159391147
5310240000,-46.9442766831842
5310300000,-45.9164466697834
5310360000,-46.3271225885442
5310420000,-46.2810722124009
5310480000,-45.9368286961909
5310540000,-45.9720916956501
5310600000,-45.8267293487441
5310660000,-46.5383397207585
5310720000,-46.8357104775829
5310780000,-46.1273867630745
5310840000,-45.4054226269176
5310900000,-45.3257415560203
5310960000,-45.6003513290919
5311020000,-46.7381513839688
5311080000,-45.9716794926918
5311140000,-45.4893855022123
5311200000,-45.9999760396749
5311260000,-45.6251444658675
5311320000,-46.4855059877548
5311380000,-46.4246613396405
5311440000,-45.6606661844063
5311500000,-45.4270894080573
5311560000,-44.8972450253012
5311620000,-45.5958911172575
5311680000,-47.2851581327013
5311740000,-47.0012235066029
5311800000,-46.4687847979621
5311860000,-46.0872212057117
5311920000,-46.4789210637527
5311980000,-46.6051692033022
5312040000,-46.3457373604881
5312100000,-46.1361342131356
5312160000,-45.6495040972398
5312220000,-46.7667185804371
5312280000,-46.0938261551351
5312340000,-44.8064680115235
5312400000,-44.5826438426786
5312460000,-45.939837144888
5312520000,-46.0899927691478
5312580000,-46.3888187002645
5312640000,-45.8537195214531
5312700000,-45.9062535289262
5312760000,-45.366200878029
5312820000,-45.9943151130025
5312880000,-45.1999597304894
5312940000,-45.6292221936192
5313000000,-45.0417514390175
5313060000,-45.5859285750434
5313120000,-45.4533688221631
5313180000,-45.5247172043237
5313240000,-45.3977650170241
5313300000,-44.8822371975067
5313360000,-45.6094429222894
5313420000,-45.9748320532282
5313480000,-45.6687464406812
5313540000,-45.7663761524835
5313600000,-45.4555942956298
5313660000,-45.1010396201672
5313720000,-45.9415872537119
5313780000,-45.318832197206
5313840000,-45.9660106852807
5313900000,-45.5118794619116
5313960000,-45.3974873395889
5314020000,-45.3166055937646
5314080000,-45.5768538715306
5314140000,-44.9439485059284
5314200000,-45.5204326151118
5314260000,-45.9755934050212
5314320000,-44.7815272662691
5314380000,-45.4217891658971
5314440000,-44.8982203050707
5314500000,-45.3664703142452
5314560000,-45.0219393369196
5314620000,-46.1186262074821
5314680000,-45.5895894190122
5314740000,-45.4863748451492
5314800000,-46.1466049697873
5314860000,-45.7802022818875
5314920000,-45.3313764642533
5314980000,-46.1425992951237
5315040000,-45.6244542657502
5315100000,-45.4696177513384
5315160000,-46.056655548823
5315220000,-45.960378775626
5315280000,-45.8555399920732
5315340000,-45.0555762081033
5315400000,-45.0339910325426
5315460000,-45.983815540066
5315520000,-45.8290157724797
5315580000,-45.8403043070664
5315640000,-46.1188892507876
5315700000,-46.1915890802527
5315760000,-45.5746612344048
5315820000,-45.3848931876141
5315880000,-45.9181997767627
5315940000,-45.1872612299275
5316000000,-45.3864583317056
5316060000,-45.6165889112414
5316120000,-45.4946261069769
5316180000,-45.1620084504984
5316240000,-44.7315486962799
5316300000,-44.4264911589725
5316360000,-45.1649111790404
5316420000,-45.1077697750664
5316480000,-45.2268000021995
5316540000,-45.4781041026239
5316600000,-45.1126862296492
5316660000,-45.7669854166416
5316720000,-44.9160096894272
5316780000,-45.2210302994574
5316840000,-44.883121100098
5316900000,-45.6134274210819
5316960000,-44.6527183233757
5317020000,-45.4310821428289
5317080000,-45.3917702986174
5317140000,-46.1130589486085
5317200000,-45.7314504242915
5317260000,-45.9661229114666
5317320000,-45.5801488642728
5317380000,-46.101057074477
5317440000,-45.9254806517182
5317500000,-45.4010372164435
5317560000,-45.6908740381516
5317620000,-46.9144403480129
5317680000,-45.951261863629
5317740000,-45.6246265903519
5317800000,-45.4957333347865
5317860000,-45.3211490763179
5317920000,-46.0375724466047
5317980000,-46.2493957576457
5318040000,-46.1607402760702
5318100000,-45.645689329409
5318160000,-45.8992717330181
5318220000,-47.1383305045362
5318280000,-45.8026053532444
5318340000,-45.8431149635176
5318400000,-45.8298051730734
5318460000,-45.8392490170169
5318520000,-46.2173149668983
5318580000,-46.5600157718593
5318640000,-46.4776439974548
5318700000,-46.1216039143634
5318760000,-46.5702899136089
5318820000,-45.999376442729
5318880000,-45.900218718408
5318940000,-46.2087302768665
5319000000,-46.2299772011804
5319060000,-45.5917288471416
5319120000,-46.4861391417182
5319180000,-45.8821388291027
5319240000,-45.9288733516261
5319300000,-47.0448743537037
5319360000,-46.5659822833951
5319420000,-46.3899795974598
5319480000,-45.1064055410049
5319540000,-45.651919425605
5319600000,-45.7040042859302
5319660000,-46.1818231684808
5319720000,-46.4866673937483
5319780000,-46.8029913273212
5319840000,-46.1836822871768
5319900000,-46.7224347558736
5319960000,-45.6874015287866
5320020000,-46.1697549696116
5320080000,-45.7794374476364
5320140000,-45.9245579209181
5320200000,-45.9492516974697
5320260000,-45.8779113200987
5320320000,-46.1400189872382
5320380000,-45.4591737130085
5320440000,-45.8411274770343
5320500000,-45.8684596756611
5320560000,-46.0307629645755
5320620000,-45.650506723439
5320680000,-46.0484453565841
5320740000,-46.1910964431881
5320800000,-46.5674132441728
5320860000,-46.4769939149703
5320920000,-46.4813446488909
5320980000,-45.6205869167121
5321040000,-46.3056652447948
5321100000,-46.6029763708222
5321160000,-47.1450434031847
5321220000,-48.0030302442647
5321280000,-47.7961675742228
5321340000,-47.5700716156821
5321400000,-48.4506063089266
5321460000,-48.0329124019081
5321520000,-47.8257263598013
5321580000,-48.526047271127
5321640000,-49.9124681625119
5321700000,-49.6193827409725
5321760000,-49.6737091576569
5321820000,-50.6325292880777
5321880000,-50.955225121203
5321940000,-51.3172694551395
5322000000,-51.735587877741
5322060000,-52.7832691817347
5322120000,-52.7144128897717
5322180000,-53.6271525009383
5322240000,-54.1034059687201
5322300000,-53.7630494307784
5322360000,-54.6361245184339
5322420000,-54.6812789274581
5322480000,-55.4541895179981
5322540000,-55.5376708660829
5322600000,-56.227210258789
5322660000,-56.5670301126258
5322720000,-57.9809082320703
5322780000,-57.2696512850059
5322840000,-58.0493894357352
5322900000,-58.8302961355173
5322960000,-59.3997248541929
5323020000,-60.2927608174935
5323080000,-59.788822110882
5323140000,-60.1827773881362
5323200000,-60.5882491205214
5323260000,-60.6425093929197
5323320000,-62.0872989420266
5323380000,-61.6617632624332
5323440000,-62.6340033335491
5323500000,-62.9014466397601
5323560000,-62.3085879646549
5323620000,-63.1436594853147
5323680000,-63.721385637202
5323740000,-63.1479513340887
5323800000,-63.6676175015888
5323860000,-64.9948833531848
5323920000,-65.7921864865325
5323980000,-66.2829769985064
5324040000,-65.5504583381721
5324100000,-66.422644152649
5324160000,-66.438856761861
5324220000,-66.9802917488238
5324280000,-67.749814282047
5324340000,-67.5235786855691
5324400000,-68.0434359365622
5324460000,-68.0272892911846
5324520000,-67.9108017639288
5324580000,-67.9836559300613
5324640000,-68.7666865963608
5324700000,-69.2777907535052
5324760000,-69.362771372073
5324820000,-69.4220365621128
5324880000,-70.1145891945148
5324940000,-70.7038391508983
5325000000,-70.3470788300258
5325060000,-70.5533239729466
5325120000,-71.173786682962
5325180000,-71.3690004288492
5325240000,-72.2991065897763
5325300000,-73.2317188842067
5325360000,-72.7741767195493
5325420000,-72.8344928688001
5325480000,-72.1957888541243
5325540000,-72.3207132720775
5325600000,-72.80682958784
5325660000,-72.8857763776506
5325720000,-73.2306893415102
5325780000,-73.2106916288139
5325840000,-73.8447580136522
5325900000,-73.5202246587973
5325960000,-74.4941183370634
5326020000,-74.2352956556775
5326080000,-74.7270930306719
5326140000,-74.3187548654413
5326200000,-74.3910137329997
5326260000,-74.6435966229536
5326320000,-74.2033916105961
5326380000,-74.3970766885399
5326440000,-75.1002197560688
5326500000,-75.0166867819765
5326560000,-76.0856297992401
5326620000,-75.9715014181853
5326680000,-75.9154771177084
5326740000,-76.0793384720266
5326800000,-76.6657221760163
5326860000,-76.1855145693524
5326920000,-77.0831659339435
5326980000,-77.3658738714928
5327040000,-77.3735244703489
5327100000,-77.4381546969207
5327160000,-77.2890139404709
5327220000,-77.0554289788807
5327280000,-78.2335909110783
5327340000,-78.1033600710624
5327400000,-77.9415343104288
5327460000,-77.8452428385016
5327520000,-78.161993035251
5327580000,-78.6579868977244
5327640000,-78.6902652190718
5327700000,-79.9868254232286
5327760000,-79.9382754270709
5327820000,-78.424217931329
5327880000,-79.4364311992908
5327940000,-78.6543704687343
5328000000,-79.4189174817765
5328060000,-79.549361272929
5328120000,-79.8157756680243
5328180000,-79.4250392322376
5328240000,-79.6411839699647
5328300000,-80.7045708672033
5328360000,-80.69622189821
5328420000,-80.4516937319677
5328480000,-81.0046672221567
5328540000,-80.6071032261808
5328600000,-81.6349044975457
5328660000,-81.8422667439636
5328720000,-80.9594021215268
5328780000,-80.8100261853934
5328840000,-82.2064863095218
5328900000,-81.9234915662816
5328960000,-81.6586497548687
5329020000,-80.716100938355
5329080000,-82.0010123988088
5329140000,-81.7604896365526
5329200000,-81.7223389920288
5329260000,-82.2732399612562
5329320000,-82.0173570259153
5329380000,-82.4686887966013
5329440000,-82.6775723615974
5329500000,-83.4212471777206
5329560000,-83.0918411937962
5329620000,-82.6862075949269
5329680000,-82.1520409496086
5329740000,-83.2781620274459
5329800000,-83.7434796399406
5329860000,-83.6019969219378
5329920000,-83.7896922673152
5329980000,-83.5824841771131
5330040000,-83.1680019426486
5330100000,-83.655228012543
5330160000,-83.8733570788504
5330220000,-83.2104442554947
5330280000,-83.115233140239
5330340000,-84.2191003405163
5330400000,-83.3641633055063
5330460000,-83.4538916139366
5330520000,-83.4462555333592
5330580000,-83.8003111074186
5330640000,-84.4668175898626
5330700000,-84.1189500007761
5330760000,-83.3813014835934
5330820000,-84.0280455232504
5330880000,-84.0898021480633
5330940000,-83.3934864602722
5331000000,-83.7764985328742
5331060000,-83.622617435927
5331120000,-84.565357155482
5331180000,-84.9909734976401
5331240000,-84.3439206041968
5331300000,-84.4591659082969
5331360000,-84.151124528754
5331420000,-84.9535354708548
5331480000,-84.7076329733363
5331540000,-84.6561432311337
5331600000,-84.5457189300956
5331660000,-83.4092203682681
5331720000,-83.9849621915751
5331780000,-84.3473960418626
5331840000,-84.1931254285644
5331900000,-86.0223970135215
5331960000,-85.5283285042559
5332020000,-85.5915843995517
5332080000,-84.0730805379168
